case,problem,cores,candidates,fastest_time,fastest_added,fastest_spill,fastest_hit,fastest_name,min_copy_time,min_copy_added,min_copy_name,min_copy_time_penalty_pct,near2_time,near2_added,near2_saved_bytes,max_hit,max_hit_time,max_hit_added,max_hit_name,max_hit_time_penalty_pct,fastest_eligible,max_hit_eligible,fastest_ddr_proxy,max_hit_ddr_proxy
case_034,2,5,20,158846,2807808,0,,wcc_protected_interleave_v2_reencode_control,842996,1079832,whole_graph_single_active,430.700175012276,158846,2807808,0,,,,,,,,,
case_034,3,5,20,158621,2807808,0,0.5112158673153305,wcc_protected_interleave_v2_reencode_control,842733,1079832,whole_graph_single_active,431.28715617730313,158621,2807808,0,0.5936475301367612,175102,3463168,wcc_protected_interleave_v2_reencode_control,10.390175323570027,5087792,5743152,2487234,2334146
case_042,1,5,20,337038,11748480,61440,,merge512,361780,6248448,wcc_start0_affinity_a5_per_core_w75,7.341011992712998,337038,11748480,0,,,,,,,,,
case_042,2,5,20,354804,6982656,2307072,,data_encoding_control,390367,5495808,wcc_task_7_shared_root_batch2,10.02328045907035,354804,6982656,0,,,,,,,,,
case_042,3,5,20,348844,10597376,3310592,0.3087474767147155,region_r0_1_observed,383373,5495808,wcc_task_7_shared_root_batch2,9.898120649918019,353021,10411008,186368,0.5448637407391361,356228,11035648,wcc_protected_interleave_v2_w8_base_earliest_start,2.1167054614670278,12158752,12556064,9232356,6583268
case_044,1,5,19,99310,319616,0,,merge256,99310,319616,merge256,0.0,99310,319616,0,,,,,,,,,
case_044,2,5,20,82112,3721600,0,,wcc_protected_interleave_v2_w4_complement_memory_tie,86833,2596704,wcc_protected_interleave_v2_w2_base_earliest_start,5.749464146531569,82112,3721600,0,,,,,,,,,
case_044,3,5,20,68361,2596704,1666304,0.4694300704974487,wcc_protected_interleave_v2_w2_base_earliest_start,68361,2596704,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,68361,2596704,0,0.8199885718367201,107814,4438112,wcc_start0_simple_a1_per_core_lpt_mv,57.71273094308158,3549632,5376192,1905856,1005152
case_046,1,2,19,140273,6545568,0,,p1_joint_r0_phase2_eft_raw,166578,3521632,wcc_start0_simple_a2_per_core_lpt_mv,18.752717914352736,140273,6545568,0,,,,,,,,,
case_046,1,3,19,124751,5513376,861376,,observed_duration,166578,3521632,wcc_start0_simple_a2_per_core_lpt_mv,33.52838854999158,124751,5513376,0,,,,,,,,,
case_046,1,4,19,120451,5079200,1292064,,p1_joint_r0_phase2_eft_raw,166578,3521632,wcc_start0_simple_a2_per_core_lpt_mv,38.29524038820766,120451,5079200,0,,,,,,,,,
case_046,1,5,20,124612,4513952,1722752,,wcc_start0_simple_a4_per_core_lpt_mv,166578,3521632,wcc_start0_simple_a2_per_core_lpt_mv,33.67733444612075,124612,4513952,0,,,,,,,,,
case_046,2,2,17,105322,930400,0,,wcc_protected_interleave_v2_w4_base_earliest_start,105322,930400,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,105322,930400,0,,,,,,,,,
case_046,2,3,20,79308,1860800,0,,wcc_protected_interleave_v2_w4_base_earliest_start,79308,1860800,wcc_protected_interleave_v2_w4_base_earliest_start,0.0,79308,1860800,0,,,,,,,,,
case_046,2,4,19,77846,2791200,0,,wcc_protected_interleave_v2_w2_base_earliest_start,77846,2791200,wcc_protected_interleave_v2_w2_base_earliest_start,0.0,77846,2791200,0,,,,,,,,,
