case,problem,cores,makespan,speedup,original_bytes,added_bytes,scheduled_bytes,modeled_pre_spill_bytes,inferred_spill_bytes,spill_model_checked_against_record,root_read_bytes,root_replication_bytes,root_replication_fraction,active_cores,subgraphs,fixed_core_compute_fraction,global_compute_floor_fraction,heaviest_subgraph_compute_fraction,original_compute_path_fraction,logical_ddr_volume_over_time,hit_rate_if_available,cache_record_available,plan_sha256
case_020,3,5,107187,4.97024825771782,2359296,0,2359296,2359296,0,False,1179648,0,0.0,5,10,0.9954938565311092,0.9937921576310561,0.5105096700159534,0.01701698900053178,0.36685045761146406,,False,0b84c2b8325700c09af637a0efa8252ea91118b73f6b976111afd4317536a447
case_021,1,5,1243902,5.280108079253832,3338240,7372800,10711040,10711040,0,False,9728000,7372800,0.6883365200764818,5,10,0.9955768219682901,0.9955768219682901,0.49778841098414506,0.004456942749509206,0.1435139852925177,,False,62f194d637775e0c772332173d42fa933aa3cfc9111094b2f61e9ffcfbff198b
case_021,2,5,1244571,5.277269838361974,3338240,6553600,9891840,9891840,0,True,8908800,6553600,0.6625258799171843,5,80,0.9950416649592511,0.9950416649592511,0.06219010405995319,0.004454546988480368,0.13246652862713337,,False,f0fd458053ebe09768836545020b838d6e5a5f95a9ca7ba707859444a7031ee0
case_021,3,5,1244853,5.276074363800385,3338240,7360512,10698752,10608640,90112,True,9625600,7270400,0.6853281853281853,5,80,0.9948162554132898,0.9948162554132898,0.06217601596333061,0.0044535378876060065,0.14323983099477072,0.5997048903878583,True,e0bebd4d5a5827b652b570df3f48856c73fb743bacb4cb0e660b4114db65c6d7
case_022,1,5,11724,4.8430569771409075,213686,13824,227510,227510,0,True,227364,13824,0.06076216430047031,5,5,0.9303991811668373,0.9226714431934493,0.9303991811668373,0.16939611054247697,0.32342488343000114,,False,e4cb2b0a58d0d82d60617a14e99c3abcfa62dc4a051d484c0a53ee060e1ff913
case_022,2,5,11576,4.904975812024879,213686,13824,227510,227510,0,False,227364,13824,0.06076216430047031,5,1356,0.9368521078092605,0.9344678645473393,0.023151347615756736,0.17156185210780925,0.32755989403363284,,False,e5709cbe6b4d09384eafb50bc4ce446bad7ae0dfc0250588813b9048e8d27e41
case_022,3,5,11576,4.904975812024879,213686,13824,227510,227510,0,False,227364,13824,0.06076216430047031,5,1356,0.9368521078092605,0.9344678645473393,0.023151347615756736,0.17156185210780925,0.32755989403363284,,False,e5709cbe6b4d09384eafb50bc4ce446bad7ae0dfc0250588813b9048e8d27e41
case_023,1,5,23846,5.141910592971567,443444,355008,798452,798452,0,False,789130,355008,0.4446203403585939,5,10,0.6452654533255053,0.5833934412480081,0.3474796611591042,0.1768850121613688,0.5580614498588162,,False,343e1e3de92a24799c670886f68d8db2235e18debe29907fe276febd18689da0
case_023,2,5,19915,6.156866683404469,443444,280992,724436,724436,0,False,715114,280992,0.38787691390267737,5,1011,0.7051468742154156,0.6985488325382877,0.0777303540045192,0.21180015064022095,0.6062733283119925,,False,ccb0e1d02510825538609b7f14700ef36f89fc4124e43067b7fe5d85a8b92637
case_023,3,5,19711,6.220587489219218,443444,280992,724436,724436,0,False,715114,280992,0.38787691390267737,5,1011,0.7124448277611486,0.7057784993151033,0.07853482826847953,0.2139921871036477,0.6125479850506484,,False,88a088c09b0a90e8df126f716b6c21b66418e92d2ed1bba374ca4ea8a2ddbe3c
case_024,1,5,1095114,2.3334036456478504,393218,39328048,39721266,39721266,0,False,39714816,39321600,0.9899382361075802,5,808,0.5864576655946322,0.46658064822475104,0.003827911979939988,0.19810540272519572,0.6045225428585517,,False,d1c22a84b0803db241963d6f97f9ba1ee6e7a49310789959e2e23fb4cbc53f4e
case_024,2,5,658886,3.8782778811509124,393218,13637536,14030754,14030754,0,False,720896,327680,0.023354411316740355,5,5959,0.8091733623115379,0.7754892348600516,0.0007952817331070928,0.3292648500651099,0.3549110164732594,,False,74b04abca9799ae87e4ccc3558f66652149add5c1a6567a901deafbea436d096
case_024,3,5,656657,3.8914425643829276,393218,13637536,14030754,14030754,0,False,720896,327680,0.023354411316740355,5,5959,0.8119200739503272,0.778121606866294,0.0007979812900799048,0.3303825284737694,0.3561157499272832,,False,74b04abca9799ae87e4ccc3558f66652149add5c1a6567a901deafbea436d096
case_025,1,5,975282,4.986276789687495,8217600,110592,8328192,8328192,0,False,4233216,110592,0.013279232755440797,5,5,0.9658498772662676,0.9644029111580036,0.9658498772662676,0.0016733621660196742,0.14232109277111646,,False,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7
case_025,2,5,942350,5.160530588422561,8217600,118272,8335872,8335872,0,False,4234752,112128,0.013451262207481112,5,18662,0.9989791478749934,0.9981055870960897,0.0006239719849312888,0.0017318406112378627,0.14743057250490796,,False,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4
case_025,3,5,942350,5.160530588422561,8217600,118272,8335872,8335872,0,False,4234752,112128,0.013451262207481112,5,18662,0.9989791478749934,0.9981055870960897,0.0006239719849312888,0.0017318406112378627,0.14743057250490796,,False,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4
case_026,1,5,41655,2.3815388308726444,528854,95664,624518,624518,0,False,584550,95664,0.15318053282691613,3,3,0.9800504141159525,0.33978153883087264,0.9800504141159525,0.1036850318089065,0.24987716560636977,,False,342505cef91d2bf9551121309dc73e50da67e1eb5f957d169c80d019a372336a
