case,cores,p2_makespan,p3_makespan,p2_over_p3,p2_added_copy,p3_added_copy,p2_cache_hit_rate,p3_cache_hit_rate,p3_hit_bytes,p3_miss_bytes,relation
case_035,3,80191,80191,1.0,102400,102400,N/A,0.00456021126603756,2048,447054,equal
case_036,3,311345,311345,1.0,2304,2304,N/A,0.0,0,3280256,equal
case_037,3,74038,74038,1.0,491520,491520,N/A,0.264,270336,753664,equal
case_038,3,446434,444979,1.0032698172273298,5902848,5902848,N/A,0.5880658715841665,4829184,3382794,faster
case_039,3,483565,476822,1.0141415454823812,14925824,16646144,N/A,0.3857108375573256,6545408,10424320,faster
case_040,3,100597,100597,1.0,0,0,N/A,0.0,0,911174,equal
case_041,3,1984993,1981686,1.0016687810278722,32312320,32323584,N/A,0.3840185498974405,13228032,21218304,faster
case_042,3,565432,562499,1.0052142314919672,5593376,5593376,N/A,0.49680731805748624,3545376,3590944,faster
case_043,3,218258,218258,1.0,1020724,1020724,N/A,0.1161714443620286,239628,1823082,equal
case_044,3,44806,43843,1.0219647378144743,1020512,1021024,N/A,0.11790277086444334,227392,1701248,faster
case_045,3,42214,42214,1.0,0,0,N/A,0.0,0,278528,equal
case_046,3,79308,79308,1.0,1860800,1860800,N/A,0.6318147704233082,1804928,1051808,equal
case_047,3,105024,104462,1.0053799467749038,1709964,1709964,N/A,0.2602101862425287,381452,1084486,faster
case_048,3,99531,98100,1.0145871559633028,758442,725004,N/A,0.21625634921570244,183500,665030,faster
case_049,3,93625,91236,1.0261848393178132,3835440,3835440,N/A,0.10201922423260575,213100,1875722,faster
case_050,3,56006,55123,1.0160187217676833,1214252,1214252,N/A,0.32037505071522426,344284,730344,faster
case_051,3,228533,227940,1.0026015618145125,263200,263200,N/A,0.3997481277291245,262190,393698,faster
case_052,3,48171,48171,1.0,181248,181248,N/A,0.07928239106136234,78592,912700,equal
case_053,3,420703,420703,1.0,1313356,1313356,N/A,0.03010376767794218,123754,3987160,equal
case_054,3,306968,306732,1.0007694013014619,4800036,4800036,N/A,0.13053638828140662,543052,3617106,faster
case_055,3,26196,26196,1.0,57856,57856,N/A,0.052432309069736144,35840,647708,equal
case_056,3,125443,122694,1.0224053335941448,5730556,5730556,N/A,0.11424758328020528,360912,2798122,faster
case_057,3,17798,17798,1.0,288,288,N/A,0.0008549139742813379,288,336588,equal
case_058,3,1487365,1487365,1.0,31199232,31199232,N/A,0.0,0,36839424,equal
case_059,3,253549,253549,1.0,1183744,1183744,N/A,0.4003623188405797,905216,1355776,equal
case_060,3,244858,244808,1.000204241691448,2287748,2287748,N/A,0.2732885266139021,1178624,3134122,faster
case_061,3,24733,24733,1.0,43008,43008,N/A,0.07326197014193143,43008,544036,equal
case_062,3,1083732,1083732,1.0,10716672,10716672,N/A,0.0,0,18760704,equal
case_063,3,335762,335063,1.0020861748387617,6199296,6199296,N/A,0.05714285714285714,562176,9275904,faster
case_064,3,10212,10189,1.002257336343115,102252,102252,N/A,0.3060039268368296,29612,67158,faster
case_065,3,10514,10514,1.0,27792,27792,N/A,0.04264881897457192,13968,313544,equal
case_066,3,136691,134574,1.0157311219106218,2152710,2152710,N/A,0.35299651224243805,880326,1613540,faster
case_067,3,19768878,19732687,1.0018340634501526,61002496,61002496,N/A,0.18558217532435692,7266816,31890048,faster
case_068,3,132178,123381,1.0712994707450905,3406314,3402214,N/A,0.24985207522832872,1295500,3889568,faster
case_069,3,10493,9795,1.0712608473711076,341068,341068,N/A,0.2701343396226415,89482,241768,faster
case_070,3,31757,31458,1.0095047364740288,259072,259072,N/A,0.2639447365707805,179200,499730,faster
case_071,3,8596,7601,1.130903828443626,281740,257388,N/A,0.2766164216446457,80268,209910,faster
case_072,3,7859153,7835275,1.0030474999282093,117308088,117308088,N/A,0.24844638182977616,31900024,96497998,faster
case_073,3,2854038,2854038,1.0,7443200,7443200,N/A,0.0,0,11324544,equal
case_074,3,533495,530641,1.005378400839739,5079040,5087232,N/A,0.5313078210949885,4587520,4046872,faster
case_075,3,563822,505606,1.1151410386743827,12172972,12181164,N/A,0.22446321033659283,1915020,6616534,faster
case_076,3,2044878,2043746,1.0005538848761049,32937984,31208448,N/A,0.4666628182185534,16556032,18921472,faster
case_077,3,149526,147616,1.0129389768046824,114688,131072,N/A,0.05065411149487223,114688,2149452,faster
case_078,3,691742,691121,1.0008985401977368,8567040,8593152,N/A,0.27368842500552243,2378856,6312984,faster
case_079,3,10064404,10110918,0.9953996264236343,70815744,43214848,N/A,0.1388529178328251,6807552,42219520,slower
case_080,3,97325,97325,1.0,3047424,3047424,N/A,0.13399503722084366,663552,4288512,equal
case_081,3,51943,51943,1.0,0,0,N/A,0.0,0,1044820,equal
case_082,3,234596,233259,1.005731825995996,5756268,5739884,N/A,0.16960451362372578,616970,3020728,faster
case_083,3,288559,288559,1.0,1860800,1860800,N/A,0.3054402538855203,930112,2115040,equal
case_084,3,424596,424596,1.0,0,0,N/A,0.0,0,9927786,equal
case_085,3,1074433,1066007,1.0079042632928301,34838636,34838636,N/A,0.13875819082871138,2730202,16945768,faster
case_086,3,40972,39679,1.032586506716399,1419148,1308172,N/A,0.3629995712478452,411468,722054,faster
case_087,3,1233023,1230468,1.0020764457100875,12004244,11999636,N/A,0.2421817190394001,4299268,13452972,faster
case_088,3,86573,84044,1.030091380705345,2078542,2078542,N/A,0.23002864393683325,766282,2564964,faster
case_089,3,206626,206626,1.0,477440,477440,N/A,0.0,0,880000,equal
case_090,3,317582,309744,1.0253047678082545,5976960,6104832,N/A,0.24825585927350205,1834440,5554872,faster
case_091,3,3025509,3014454,1.0036673308002046,61863936,61863936,N/A,0.43110189795230786,29481024,38904256,faster
