case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_commit,source_plan,plan,plan_sha256,verification
case_003,2,2,321883,6032838,602212,1.8709034027892122,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_003_multicore_res.json,方案/p2/n2/case_003_multicore_res.json,6602d5b7529aa4945bc3880f53b55fe8a71fbc6a4637f7a9e3770cf546af4de1,inherited_team13_success
case_003,2,3,201189,3430748,602212,2.993265039341117,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_003_multicore_res.json,方案/p2/n3/case_003_multicore_res.json,9f7adc7f47f2edf55250a93b4437e96eb636ebee7425f79128a05bca96adb34a,inherited_team13_success
case_003,2,4,173817,4750638,602212,3.4646323432115387,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_003_multicore_res.json,方案/p2/n4/case_003_multicore_res.json,f6771873c2e0fe70f8fc0641089dd566814e0e9bcf35ae75d95a87623344a17f,inherited_team13_success
case_003,2,5,157029,5783280,602212,3.8350368403288564,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_003_multicore_res.json,方案/p2/n5/case_003_multicore_res.json,8dedb7f64dcabf683f0f0c027c5eab2a4009328322db4e5b9166763801c3de00,inherited_team13_success
case_003,3,1,602212,0,602212,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_003_multicore_res.json,方案/p3/n1/case_003_multicore_res.json,9ec5a094b04cc1376f44b29ce0935c7e2d3e94a340ab0a842624357425620101,inherited_team13_success
case_003,3,2,321549,6032838,602212,1.8728467511949967,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_003_multicore_res.json,方案/p3/n2/case_003_multicore_res.json,6602d5b7529aa4945bc3880f53b55fe8a71fbc6a4637f7a9e3770cf546af4de1,inherited_team13_success
case_003,3,3,200944,3430748,602212,2.9969145632614063,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_003_multicore_res.json,方案/p3/n3/case_003_multicore_res.json,9f7adc7f47f2edf55250a93b4437e96eb636ebee7425f79128a05bca96adb34a,inherited_team13_success
case_003,3,4,168221,4750638,602212,3.5798859833195618,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_003_multicore_res.json,方案/p3/n4/case_003_multicore_res.json,d2dd20d68d0aedb54a64fcefb4de233f7397c842a0135016bbc2a7707b8d995c,inherited_team13_success
case_003,3,5,145137,5783280,602212,4.149265866043807,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_003_multicore_res.json,方案/p3/n5/case_003_multicore_res.json,dee7955c586e823f32b38ed0ff586b1391c6f9d1d8e7c644c87c27b3a0243472,inherited_team13_success
case_004,1,1,392357,0,392357,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_004_multicore_res.json,方案/p1/n1/case_004_multicore_res.json,a745a4cbd7a4cc8d9221066a1589f28214e0cfe323993e6619c7cde15685cf96,inherited_team13_success
case_004,1,2,199074,110592,392357,1.9709103147573264,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_004_multicore_res.json,方案/p1/n2/case_004_multicore_res.json,521691b61322b8e7954648716f5cdc5acbeb4f7c2ab36fecbb8588d2b83344d8,inherited_team13_success
case_004,1,3,134043,221184,392357,2.927098020784375,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_004_multicore_res.json,方案/p1/n3/case_004_multicore_res.json,2992acbc1a778c3159b96838f59c932930bfad488116b6a85f23f880c09d38ae,inherited_team13_success
case_004,1,4,104188,331776,392357,3.765855952700887,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_004_multicore_res.json,方案/p1/n4/case_004_multicore_res.json,03f815687cded711e146ade79446aa7fd533749b480dbdabcd5d3e77d0e1668f,inherited_team13_success
case_004,1,5,88341,442368,392357,4.441391879195391,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_004_multicore_res.json,方案/p1/n5/case_004_multicore_res.json,40ea1048576c145589a488c1877599594d92acd498a8c36be4f7e5a4863ae4c2,inherited_team13_success
case_004,2,1,392357,0,392357,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_004_multicore_res.json,方案/p2/n1/case_004_multicore_res.json,a745a4cbd7a4cc8d9221066a1589f28214e0cfe323993e6619c7cde15685cf96,inherited_team13_success
case_004,2,2,197916,125952,392357,1.9824420461205765,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_004_multicore_res.json,方案/p2/n2/case_004_multicore_res.json,aa753a6a28c312bd3e1c0bbb19c957bf7c1b1e45f885feb55eb6cd8fc473a2b0,inherited_team13_success
case_004,2,3,130725,1474560,392357,3.001392235609103,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_004_multicore_res.json,方案/p2/n3/case_004_multicore_res.json,a1c61ef95463a18cdbed73ae7f6cd60206ee9bc25375f63019314465bec81c3d,inherited_team13_success
case_004,2,4,100636,1474560,392357,3.8987737986406454,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_004_multicore_res.json,方案/p2/n4/case_004_multicore_res.json,bdb1e514685c78b8d71d13f1e7731289b3ddc9db512bccc73e6cc396859bcd14,inherited_team13_success
case_004,2,5,81107,2863104,392357,4.837523271727471,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_004_multicore_res.json,方案/p2/n5/case_004_multicore_res.json,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811,inherited_team13_success
case_004,3,1,392357,0,392357,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_004_multicore_res.json,方案/p3/n1/case_004_multicore_res.json,a745a4cbd7a4cc8d9221066a1589f28214e0cfe323993e6619c7cde15685cf96,inherited_team13_success
case_004,3,2,197916,125952,392357,1.9824420461205765,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_004_multicore_res.json,方案/p3/n2/case_004_multicore_res.json,aa753a6a28c312bd3e1c0bbb19c957bf7c1b1e45f885feb55eb6cd8fc473a2b0,inherited_team13_success
case_004,3,3,130725,1474560,392357,3.001392235609103,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_004_multicore_res.json,方案/p3/n3/case_004_multicore_res.json,a1c61ef95463a18cdbed73ae7f6cd60206ee9bc25375f63019314465bec81c3d,inherited_team13_success
case_004,3,4,100126,1474560,392357,3.9186325230209937,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_004_multicore_res.json,方案/p3/n4/case_004_multicore_res.json,bdb1e514685c78b8d71d13f1e7731289b3ddc9db512bccc73e6cc396859bcd14,inherited_team13_success
case_004,3,5,81107,2863104,392357,4.837523271727471,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_004_multicore_res.json,方案/p3/n5/case_004_multicore_res.json,e2ccb5991d5b4d63de25f7fbc76d141a5b0a683a58fb8ce89bb056c7c7af4811,inherited_team13_success
case_005,1,1,95537,319314,95618,1.0008478390571192,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_005_multicore_res.json,方案/p1/n1/case_005_multicore_res.json,1f42ca31e81de6f3a70f549a22c3fc1446cae9dbc208b81bffdf58aca7c74940,inherited_team13_success
case_005,1,2,95439,99558,95618,1.0018755435409004,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_005_multicore_res.json,方案/p1/n2/case_005_multicore_res.json,f35225f7f30c2abbe2f4c994079e44b5061a1f750be1e8994375c5e9fd0c5745,inherited_team13_success
case_005,1,3,95439,99558,95618,1.0018755435409004,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_005_multicore_res.json,方案/p1/n3/case_005_multicore_res.json,2765158610ee6cf834702034e8ec4adad3980394b75c9e30bc26e32010fe3f01,inherited_team13_success
