run,case,method,num_cores,active_cores,makespan_p2,makespan_p3,hardware_ratio,original_input_tensors,original_inputs_with_multiple_compute_consumers,original_inputs_actually_read_by_multiple_cores,repeated_read_tensors,all_read_bytes,potential_repeat_bytes,potential_repeat_fraction,fifo_eviction_count,max_cache_used_bytes,max_compute_pipe_busy_fraction,ddr_busy_fraction,hit_bytes,hit_rate,miss_first,miss_inflight_repeat,miss_after_eviction
pilot_fullpool_v2,case_049,simple,5,2,160206,160206,1.0,144,46,0,0,152504,0,0.0,0,152504,0.8858095202426876,0.016603622835599165,0,0.0,144,0,0
pilot_fullpool_v2,case_051,affinity,1,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_051,affinity,2,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_051,affinity,5,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_051,simple,1,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_051,simple,2,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_051,simple,5,1,607628,607628,1.0,12,12,0,0,393216,0,0.0,0,393216,0.9990981324099614,0.010804307898911835,0,0.0,12,0,0
pilot_fullpool_v2,case_064,affinity,1,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_064,affinity,2,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_064,affinity,5,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_064,simple,1,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_064,simple,2,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_064,simple,5,1,19116,19116,1.0,62,26,0,0,35622,0,0.0,0,35622,0.8236032642812304,0.03463067587361373,0,0.0,62,0,0
pilot_fullpool_v2,case_071,affinity,1,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_071,affinity,2,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_071,affinity,5,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_071,simple,1,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_071,simple,2,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_071,simple,5,1,18919,18919,1.0,35,29,0,0,111462,0,0.0,0,111462,0.6625085892489032,0.10809239388974047,0,0.0,35,0,0
pilot_fullpool_v2,case_093,affinity,1,1,74205,74205,1.0,280,4,0,0,573440,0,0.0,0,573440,0.9968061451384678,0.16461154908698875,0,0.0,280,0,0
pilot_fullpool_v2,case_093,affinity,2,2,37827,37827,1.0,280,4,4,4,581632,8192,0.014084507042253521,0,573440,0.9918841039469162,0.32661855288550506,0,0.0,280,4,0
pilot_fullpool_v2,case_093,affinity,5,5,15876,15876,1.0,280,4,4,4,606208,32768,0.05405405405405406,0,573440,0.9453262786596119,0.8046737213403881,0,0.0,280,16,0
pilot_fullpool_v2,case_093,simple,1,1,74205,74205,1.0,280,4,0,0,573440,0,0.0,0,573440,0.9968061451384678,0.16461154908698875,0,0.0,280,0,0
pilot_fullpool_v2,case_093,simple,2,2,37827,37827,1.0,280,4,4,4,581632,8192,0.014084507042253521,0,573440,0.9918841039469162,0.32661855288550506,0,0.0,280,4,0
pilot_fullpool_v2,case_093,simple,5,5,15876,15876,1.0,280,4,4,4,606208,32768,0.05405405405405406,0,573440,0.9453262786596119,0.8046737213403881,0,0.0,280,16,0
