case,problem,cores,variant,original_singlecore,makespan,speedup,added_copy,scheduled_copy,spill,hit_bytes,miss_bytes,byte_hit_rate,calls,failed_calls,seconds,generation_seconds,generation_error_count,recovered_with_extended_time,recovery_calls,recovery_elapsed_seconds,plan,plan_sha256,source_export,python,B8_prefix_makespan,B12_prefix_makespan,B16_prefix_makespan,B24_prefix_makespan
case_003,1,5,mature,602212,500657,1.202843463688713,1839404,3123668,0,0,0,,6,1,240.21532107898383,0.0,0,False,0,0,plans/p1/n5/case_003.json,c651f97ac364a3360b2468beed15d973e3e1e84215edfa8ff9dfbbfc001d8372,A题研究/直接迭代/运行结果/从头全量P1便携47_v3,3.12.3,500657,500657,500657,500657
case_003,2,1,frontier,602212,453222,1.3287351452489067,745240,2029504,745240,0,0,,24,0,141.25555761999567,0.48732960599591024,0,False,0,0,plans/p2/n1/case_003.json,46924c91ea933f30d43bf1864ff4699a50d7008ee37ab628a84d34954b349498,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,496745,496745,496745,453222
case_003,2,2,frontier,602212,281188,2.1416703415508485,7582218,8866482,0,0,0,,24,0,180.8767451760068,0.4103338719869498,0,False,0,0,plans/p2/n2/case_003.json,fcf518bf92b3500db46f431120cbf64bee5a958c20efd8445423fa2deeb127a2,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,351605,351602,351602,281188
case_003,2,3,frontier,602212,252518,2.3848280122605123,10194904,11479168,0,0,0,,24,0,189.40946994299884,0.4187858739751391,0,False,0,0,plans/p2/n3/case_003.json,537d64afcb7cc8bdce21a0decb71658d74f193d8df10fb2434824dfaea161498,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,298066,252518,252518,252518
case_003,2,4,frontier,602212,244082,2.4672528084823955,10953420,12237684,0,0,0,,24,0,184.2104199169844,0.3617905499995686,0,False,0,0,plans/p2/n4/case_003.json,882ebbfa5bd3459398bd77537b003c618fa1b9cb2c1240479aab2fea380a2cec,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,269802,244300,244300,244082
case_003,2,5,frontier,602212,269541,2.234212976875503,13187602,14471866,0,0,0,,24,0,192.8233338370046,0.33553213300183415,0,False,0,0,plans/p2/n5/case_003.json,7e4f982da638b5a3fe856963cd2a89b26e65741d7add74335ba11ba65936f71f,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,286058,269541,269541,269541
case_003,3,1,frontier,602212,453222,1.3287351452489067,745240,2029504,745240,20,1656842,1.2071011345543564e-05,24,0,153.03407146100653,0.5100871190079488,0,False,0,0,plans/p3/n1/case_003.json,46924c91ea933f30d43bf1864ff4699a50d7008ee37ab628a84d34954b349498,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,496745,496745,496745,453222
case_003,3,2,frontier,602212,279980,2.1509107793413813,7582474,8866738,0,360582,4943304,0.06798449287937185,24,0,189.8976834070054,0.3868954920035321,0,False,0,0,plans/p3/n2/case_003.json,73dec233d894248485c295bda9c93f8311809d651388a049146b770987e23182,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,349921,337632,331205,279980
case_003,3,3,frontier,602212,247678,2.4314311323573348,10178520,11462784,0,1345384,5546384,0.1952160896884515,24,0,197.34204000100726,0.32541664197924547,0,False,0,0,plans/p3/n3/case_003.json,d374cba780543208c9791fc1e4262de01561b633d904d41fc97f3b690aa87a15,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,290236,274744,271069,247678
case_003,3,4,frontier,602212,228271,2.63814501184995,10953420,12237684,0,1406088,6018604,0.18937997697412903,24,0,195.09418436000124,0.3160397699975874,0,False,0,0,plans/p3/n4/case_003.json,1e0d6f8a49c87af83fb4a37c52d2a45a8f2bfdabbd0d00b1c84a00279c4faa44,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,257651,247438,246102,228271
case_003,3,5,frontier,602212,238032,2.5299623580022854,13187602,14471866,0,2539862,6298948,0.2873533880692084,24,0,202.42529304901836,0.33292616400285624,0,False,0,0,plans/p3/n5/case_003.json,116943e57cf8dfbd457114eab4b63cb33e49d5cbd975bf8b5e6824ed25e4ced7,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,254224,253659,251282,238032
case_004,1,1,mature,392357,392357,1.0,0,792576,0,0,0,,7,0,7.6584776190011326,0.0,0,False,0,0,plans/p1/n1/case_004.json,a745a4cbd7a4cc8d9221066a1589f28214e0cfe323993e6619c7cde15685cf96,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,392357,392357,392357,392357
case_004,1,2,mature,392357,199074,1.9709103147573264,110592,903168,0,0,0,,4,0,6.324905247000061,0.0,0,False,0,0,plans/p1/n2/case_004.json,521691b61322b8e7954648716f5cdc5acbeb4f7c2ab36fecbb8588d2b83344d8,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,199074,199074,199074,199074
case_004,1,3,mature,392357,134043,2.927098020784375,221184,1013760,0,0,0,,7,0,7.847805334000441,0.0,0,False,0,0,plans/p1/n3/case_004.json,2992acbc1a778c3159b96838f59c932930bfad488116b6a85f23f880c09d38ae,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,134043,134043,134043,134043
case_004,1,4,mature,392357,104188,3.765855952700887,331776,1124352,0,0,0,,4,0,6.411394708000444,0.0,0,False,0,0,plans/p1/n4/case_004.json,03f815687cded711e146ade79446aa7fd533749b480dbdabcd5d3e77d0e1668f,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,104188,104188,104188,104188
case_004,1,5,mature,392357,88341,4.441391879195391,442368,1234944,0,0,0,,12,0,13.009813050000957,0.0,0,False,0,0,plans/p1/n5/case_004.json,40ea1048576c145589a488c1877599594d92acd498a8c36be4f7e5a4863ae4c2,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,88341,88341,88341,88341
case_004,2,1,frontier,392357,386363,1.01551390790526,0,792576,0,0,0,,21,0,5.729910529014887,0.021013343008235097,0,False,0,0,plans/p2/n1/case_004.json,6914dd1d6e017cb5bc42bc65c0da7e075730c10bad973334722c5f10ee421ba5,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,386363,386363,386363,386363
case_004,2,2,frontier,392357,194802,2.014132298436361,125952,918528,0,0,0,,24,0,6.635847749013919,0.015551089018117636,0,False,0,0,plans/p2/n2/case_004.json,f8ddefa7a6dd26d5a2920564851877c203396a34773d358c52638c3fef681cd7,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,194802,194802,194802,194802
case_004,2,3,frontier,392357,130725,3.001392235609103,221184,1013760,0,0,0,,24,0,7.917634665995138,0.017282910004723817,0,False,0,0,plans/p2/n3/case_004.json,7c7da67cbea750a9c96e576d5dee23f2b2bdc1df4b09ccf41ca12fd065e4f7a5,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,130725,130725,130725,130725
case_004,2,4,frontier,392357,100126,3.9186325230209937,331776,1124352,0,0,0,,24,0,6.813997170014773,0.015309129987144843,0,False,0,0,plans/p2/n4/case_004.json,055bc121c1337f3efd406fe1a8d16ce56038f2918972343f1b6cb5d2cfc47cec,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,100622,100126,100126,100126
case_004,2,5,frontier,392357,83319,4.709093964161836,712704,1505280,270336,0,0,,24,0,6.330088132992387,0.011813703982625157,0,False,0,0,plans/p2/n5/case_004.json,1e1ce8b3c1c01e0f6dc8b9119d0128d7f5c83b1e12966d543de1b1f0e4801992,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,84042,83567,83567,83319
case_004,3,1,frontier,392357,386363,1.01551390790526,0,792576,0,0,451584,0.0,21,0,6.051500992005458,0.021705323015339673,0,False,0,0,plans/p3/n1/case_004.json,6914dd1d6e017cb5bc42bc65c0da7e075730c10bad973334722c5f10ee421ba5,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,386363,386363,386363,386363
case_004,3,2,frontier,392357,194802,2.014132298436361,125952,918528,0,76800,494592,0.13440860215053763,24,0,6.42861158499727,0.015900633006822318,0,False,0,0,plans/p3/n2/case_004.json,f8ddefa7a6dd26d5a2920564851877c203396a34773d358c52638c3fef681cd7,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,194802,194802,194802,194802
case_004,3,3,frontier,392357,130725,3.001392235609103,221184,1013760,0,0,672768,0.0,24,0,7.785501965001458,0.02583521298947744,0,False,0,0,plans/p3/n3/case_004.json,7c7da67cbea750a9c96e576d5dee23f2b2bdc1df4b09ccf41ca12fd065e4f7a5,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,130725,130725,130725,130725
case_004,3,4,frontier,392357,100126,3.9186325230209937,1093632,1886208,761856,110592,1053696,0.09498680738786279,24,0,7.048265232995618,0.013971203996334225,0,False,0,0,plans/p3/n4/case_004.json,3dfa7ee0b3266b05d840494f7281bf97dc6ddfd090e6cfde692137cc25821a9c,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,100126,100126,100126,100126
case_004,3,5,frontier,392357,82161,4.775465245067611,457728,1250304,0,187392,715776,0.20748299319727892,24,0,6.457682307984214,0.01638068599277176,0,False,0,0,plans/p3/n5/case_004.json,73c8aacdb33481b18778b84a35d699e1afe9686be411b1beb3b7b18ea5cf75cf,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,82161,82161,82161,82161
case_005,1,1,mature,95618,95439,1.0018755435409004,99558,432972,0,0,0,,24,0,116.0143947980032,0.0,0,False,0,0,plans/p1/n1/case_005.json,2fd9c3625dffd883aea17ce240498e48f38f2226b4a5db6265e58fc2ea5f69da,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,95439,95439,95439,95439
case_005,1,2,mature,95618,82206,1.1631511081916162,629612,963026,0,0,0,,24,0,133.32748940000056,0.0,0,False,0,0,plans/p1/n2/case_005.json,719fd8e203ee40c24fe064cda3d43c777557a58cc68b5da35132f3e33a948be3,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,87148,86984,86788,82206
case_005,1,3,mature,95618,69681,1.3722248532598555,2543130,2876544,0,0,0,,24,0,130.9644623839995,0.0,0,False,0,0,plans/p1/n3/case_005.json,dc63054c0fc865aa5b2d51c93ee41ed427748e328313c108992d284d0c7110ef,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,76257,71857,71857,69681
case_005,1,4,mature,95618,48777,1.9603091621050905,2086306,2419720,0,0,0,,24,0,123.21692384199923,0.0,0,False,0,0,plans/p1/n4/case_005.json,c003f8e5c704c18977417fdb31b487de7f5d60174213cfd077742ef2d58f548f,A题研究/直接迭代/运行结果/远端P1回收437_v1/cold_export_successful,3.11.4,61923,52353,51399,48777
case_005,1,5,mature,95618,61202,1.5623345642299271,2092876,2426290,0,0,0,,24,0,58.9617130359984,0.0,0,False,0,0,plans/p1/n5/case_005.json,062b354086265c22edceaf3052e022c6bbd4e47f3394aea16ffe139cd19c19c0,A题研究/直接迭代/运行结果/从头全量P1便携16_v1,3.12.3,71113,61202,61202,61202
case_005,2,1,frontier,95618,73787,1.2958651252930733,0,333414,0,0,0,,9,0,8.716024913010187,0.11047681397758424,0,False,0,0,plans/p2/n1/case_005.json,41f6f32c28781319ae436a12f4a21126641c264623af0e02cb2bdab32cda6885,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,91449,73787,73787,73787
case_005,2,2,frontier,95618,40820,2.3424301812836843,710982,1044396,0,0,0,,24,0,23.33798567400663,0.09524937300011516,0,False,0,0,plans/p2/n2/case_005.json,53c459516cac72d1df035ac653bb920e219ab10ca060b9ee3aea98f45a1b614a,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,57980,55013,55013,40820
case_005,2,3,frontier,95618,34420,2.7779779198140617,1262476,1595890,0,0,0,,24,0,24.778568384004757,0.08445927099091932,0,False,0,0,plans/p2/n3/case_005.json,051b4524d0bc402cde0926bae270ca947f96606d7b1ae92a1e56042f10d67076,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,50156,39176,39176,34420
case_005,2,4,frontier,95618,35287,2.7097231274973788,1555314,1888728,0,0,0,,24,0,28.56524200300919,0.08799779301625676,0,False,0,0,plans/p2/n4/case_005.json,bdd34df3dc6d19c5db670c0b4a370db1a1980a5e739a01a4cee8443e8e1fb200,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,47588,38159,38159,35287
case_005,2,5,frontier,95618,40901,2.3377912520476274,1937016,2270430,0,0,0,,24,0,26.13667078499566,0.08772999100619927,0,False,0,0,plans/p2/n5/case_005.json,c526ca6ad53a3da7f5d1f5d7661e23cd5967b0c1366a258068c33b0c88fba96f,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,45207,40901,40901,40901
case_005,3,1,frontier,95618,73787,1.2958651252930733,0,333414,0,0,318822,0.0,10,0,9.808107746997848,0.1044157339783851,0,False,0,0,plans/p3/n1/case_005.json,41f6f32c28781319ae436a12f4a21126641c264623af0e02cb2bdab32cda6885,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,91449,73787,73787,73787
case_005,3,2,frontier,95618,40429,2.3650844690692323,710982,1044396,0,144486,604374,0.1929412707315119,24,0,26.494391351996455,0.09234534599818289,0,False,0,0,plans/p3/n2/case_005.json,53c459516cac72d1df035ac653bb920e219ab10ca060b9ee3aea98f45a1b614a,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,55854,55854,55770,40429
case_005,3,3,frontier,95618,32392,2.951901704124475,1152972,1486386,0,394380,645798,0.37914664605480985,24,0,25.551895947981393,0.07969060499453917,0,False,0,0,plans/p3/n3/case_005.json,dabe8ddfa048bfff7ddff25a0f80c477e9ff717770eacf227dc2e485c66a469b,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,47172,47059,47042,32392
case_005,3,4,frontier,95618,31233,3.0614414241347294,1553010,1886424,0,505262,778762,0.39349887541042844,24,0,27.986630900995806,0.07347637898055837,0,False,0,0,plans/p3/n4/case_005.json,d7e1306ef6b6faab99e1960715a37c1a8b16205fce0f7c0877a48409b4470b1b,A题研究/直接迭代/运行结果/从头全量P23便携1000_v1,3.12.3,44074,43980,43980,31233
