case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_034,1,169362,3745,5183426,0,2807808,0.5416896083787055,0.625030517578125,4.977480190361474,5
case_034,2,159524,3745,5743554,0,3463168,0.6029660381011478,0.8751220703125,5.284446227526892,5
case_034,3,159257,3745,5743554,0,3463168,0.6029660381011478,0.8751220703125,5.2933057887565385,5
case_035,1,90079,3857,1790820,0,101528,0.05669358171117142,0.193359375,1.8824698320363236,5
case_035,2,51821,3857,1541386,0,276512,0.17939179413852208,0.46148681640625,3.2722448428243376,5
case_035,3,51103,3857,1541386,0,276512,0.17939179413852208,0.46148681640625,3.318220065358198,5
case_036,1,187182,2400,6559360,0,4608,0.0007025075617133378,0.0625,4.976493466252097,5
case_036,2,187182,2400,6559360,0,4608,0.0007025075617133378,0.0625,4.976493466252097,5
case_036,3,187182,2400,6559360,0,4608,0.0007025075617133378,0.0625,4.976493466252097,5
case_037,1,43013,780,1392640,0,778240,0.5588235294117647,0.359375,4.882268151489085,5
case_037,2,43013,780,1392640,0,778240,0.5588235294117647,0.359375,4.882268151489085,5
case_037,3,43013,780,1392640,0,778240,0.5588235294117647,0.359375,4.882268151489085,5
case_038,1,276053,5907,11257094,9216,6100992,0.5419686466151922,0.9990234375,4.943090638391903,5
case_038,2,277456,5907,10061574,1489408,5769216,0.5733910022427903,1.0,4.918095121388617,5
case_038,3,275192,5907,12470534,1108992,8558592,0.6863051734592921,1.0,4.958556208029303,5
case_039,1,316542,5250,14295040,0,4358144,0.3048710601719198,0.6484375,4.534191355333573,5
case_039,2,308167,5250,14938112,2977792,7471104,0.5001370989854675,1.0,4.657416271047841,5
case_039,3,300221,5250,14942208,2977792,7467008,0.49972587719298245,1.0,4.780684895460344,5
case_040,1,110105,3083,911238,0,0,0.0,0.6875,2.301929975932065,3
case_040,2,68324,3083,3073730,0,543508,0.17682359868954006,0.76220703125,3.70958960248229,5
case_040,3,63092,3083,3073730,0,543508,0.17682359868954006,0.76220703125,4.0172129588537375,5
case_041,1,1196379,16594,45580252,22609920,18020352,0.3953543740828813,1.0,5.018440644645217,5
case_041,2,1194924,16594,23467996,3207168,15310848,0.6524139513233256,1.0,5.02455135221989,5
case_041,3,1191935,16594,45580252,22609920,18020352,0.3953543740828813,1.0,5.037151354729914,5
case_042,1,342220,4733,12576868,2933760,7254144,0.5767846176011389,1.0,4.928817719595582,5
case_042,2,354324,4733,9382884,2307072,4678656,0.4986373059711705,1.0,4.760445242207697,5
case_042,3,353812,4733,9382884,2307072,4678656,0.4986373059711705,1.0,4.7673340644183915,5
case_043,1,200786,9309,9047220,0,2213868,0.2447014663067771,0.3750457763671875,3.375016186387497,5
case_043,2,169830,9309,8122126,0,1099508,0.13537194571963054,0.6933746337890625,3.990201966672555,5
case_043,3,158368,9309,8122126,0,1099508,0.13537194571963054,0.6933746337890625,4.278995756718529,5
case_044,1,96349,1364,1197664,58880,0,0.0,0.99993896484375,1.6025802032195455,1
case_044,2,44806,1364,1995968,0,930400,0.46613973771122585,0.284423828125,3.446123287059769,2
case_044,3,43210,1364,1996736,0,930400,0.4659604474502388,0.14404296875,3.5734089331173338,2
case_045,1,26153,1651,557056,0,0,0.0,0.25,4.8030436278820785,5
case_045,2,25770,1651,557056,0,0,0.0,0.25,4.874427629025999,5
case_045,3,25770,1651,557056,0,0,0.0,0.25,4.874427629025999,5
case_046,1,124612,992,5575424,1722752,2791200,0.5006256026447495,1.0,2.218526305652746,4
case_046,2,77211,992,3643776,0,2570016,0.7053166824744441,0.3466796875,3.580513139319527,4
case_046,3,73405,992,3643776,0,2570016,0.7053166824744441,0.3466796875,3.7661603433008652,4
case_047,1,190683,13710,3695024,0,294610,0.07973155248788641,0.2151031494140625,1.7123078617391168,4
case_047,2,95504,13710,3115774,0,527128,0.16918043478121328,0.1116180419921875,3.418788741832803,5
case_047,3,93036,13710,3115774,0,527128,0.16918043478121328,0.1116180419921875,3.5094802012124338,5
case_048,1,119999,1728,1806746,0,144082,0.07974668271024261,0.0786285400390625,1.8518487654063784,4
case_048,2,98594,1728,1651230,0,152344,0.09226092064703281,0.0786590576171875,2.25388968902773,5
case_048,3,98366,1728,1651230,0,152344,0.09226092064703281,0.0786590576171875,2.259113921476933,5
case_049,1,86941,4303,2796044,0,54420,0.019463213025259975,0.1718902587890625,2.257576977490482,5
case_049,2,59914,4303,1934652,0,66840,0.03454884909534118,0.2895660400390625,3.2759622125045897,5
case_049,3,59456,4303,1938748,0,66840,0.034475857615327,0.2627105712890625,3.301197524219591,5
case_050,1,77776,4555,1226412,0,84118,0.06858869613147947,0.3961334228515625,1.9246297058218473,5
case_050,2,48502,4555,1800596,0,331164,0.18391910234166908,0.751983642578125,3.0862644839388067,5
case_050,3,45172,4555,1800596,0,331164,0.18391910234166908,0.751983642578125,3.313778446825467,5
case_051,1,607628,1416,393218,0,0,0.0,0.75,1.0,1
case_051,2,162296,1416,3900822,0,360448,0.09240308837470666,1.0,3.7439493271553212,5
case_051,3,159635,1416,3900822,0,360448,0.09240308837470666,1.0,3.806358254768691,5
case_052,1,44240,1008,1664220,0,328704,0.1975123481270505,0.21881103515625,4.075519891500904,5
case_052,2,32948,1008,1138908,0,328704,0.28861330326944756,0.6524200439453125,5.472289668568654,5
case_052,3,32186,1008,1138908,0,328704,0.28861330326944756,0.5001373291015625,5.601845522898154,5
