case,ops,wcc,max_wcc_ops,singlecore,selected_cycles,cold_cycles,selected_speedup,cold_speedup,mean_gap_contribution,cold_calls,cold_failed,cold_seconds,selected_tasks,selected_max_task_ops,selected_partition_path_lb,selected_fixed_plan_lb,selected_busiest_core_compute_lb,selected_boundary_ddr_lb,selected_boundary_bytes,selected_fixed_lb_fraction,cold_tasks,cold_max_task_ops,cold_partition_path_lb,cold_fixed_plan_lb,cold_busiest_core_compute_lb,cold_boundary_ddr_lb,cold_boundary_bytes,cold_fixed_lb_fraction
case_084,8616,1077,8,2507412,503472,503472,4.98024120507198,4.98024120507198,0.0,10,1,240.23687494899968,5,1728,254016,254016,254016,225093,13236330,0.5045285537229478,5,1728,254016,254016,254016,225093,13236330,0.5045285537229478
case_089,5120,40,128,693092,147432,147432,4.701096098540344,4.701096098540344,0.0,20,0,110.80537277499934,5,1024,117824,117824,117824,25570,1521280,0.7991752129795431,5,1024,117824,117824,117824,25570,1521280,0.7991752129795431
case_092,17608,142,124,4815554,1618214,1618214,2.975844974768479,2.975844974768479,0.0,5,2,240.5404080440003,10,1860,392340,758624,758524,194208,11630528,0.46880326087896906,10,1860,392340,758624,758524,194208,11630528,0.46880326087896906
case_093,552,69,8,74205,15876,15876,4.674036281179139,4.674036281179139,0.0,5,0,6.839459116999933,5,112,15008,15008,15008,12775,747520,0.9453262786596119,5,112,15008,15008,15008,12775,747520,0.9453262786596119
case_094,647,40,44,94892,20730,20730,4.577520501688374,4.577520501688374,0.0,24,0,18.86225189600009,14,106,12264,18624,18396,15691,935492,0.8984081041968162,14,106,12264,18624,18396,15691,935492,0.8984081041968162
case_095,3696,462,8,2084853,420852,420852,4.953886401870491,4.953886401870491,0.0,24,0,167.12422847400012,5,744,215388,215388,215388,190806,11355036,0.5117903681104046,5,744,215388,215388,215388,190806,11355036,0.5117903681104046
case_096,1198,50,397,84194,24966,24966,3.372346391091885,3.372346391091885,0.0,24,0,30.38360330499927,55,160,22829,24091,22829,17172,1018380,0.9649523351758391,55,160,22829,24091,22829,17172,1018380,0.9649523351758391
case_097,6592,64,103,11491509,2102348,2102348,5.466035594487687,5.466035594487687,0.0,7,1,240.15140161899944,5,1339,2092896,2092896,2092896,370880,22085632,0.995504074491949,5,1339,2092896,2092896,2092896,370880,22085632,0.995504074491949
case_098,1365,27,389,177430,47221,47221,3.7574384278181316,3.7574384278181316,0.0,24,0,37.239294689001326,84,141,18955,41374,35216,27600,1632210,0.876177971665149,84,141,18955,41374,35216,27600,1632210,0.876177971665149
case_100,1394,43,275,151223,51180,51180,2.9547284095349746,2.9547284095349746,0.0,22,0,36.2910811999991,48,93,47360,48192,47360,29654,1761774,0.9416178194607269,48,93,47360,48192,47360,29654,1761774,0.9416178194607269
