size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,16777216,parallel,16,2,1196.3599920272827,1357.137,True
1024,16777216,matrix_only,16,2,390.500009059906,510.702,True
1024,16777216,serial,16,2,1053.979992866516,1185.806,True
1024,16777216,matrix_only,16,3,407.13998675346375,563.833,True
1024,16777216,serial,16,3,1052.6599884033203,1176.565,True
1024,16777216,vector_only,16,3,808.239996433258,941.515,True
1024,16777216,parallel,16,3,1252.6400089263916,1410.697,True
1024,16777216,serial,16,4,1054.0800094604492,1198.546,True
1024,16777216,vector_only,16,4,811.2800121307373,950.935,True
1024,16777216,parallel,16,4,1228.559970855713,1360.986,True
1024,16777216,matrix_only,16,4,423.1399893760681,532.303,True
1024,16777216,serial,16,5,1098.099946975708,1214.807,True
1024,16777216,parallel,16,5,1203.4800052642822,1345.377,True
1024,16777216,vector_only,16,5,817.1399831771851,940.154,True
1024,16777216,matrix_only,16,5,425.28000473976135,539.273,True
1024,16777216,matrix_only,16,6,418.02000999450684,561.783,True
1024,16777216,serial,16,6,1081.2400579452515,1199.956,True
1024,16777216,vector_only,16,6,813.8999938964844,938.224,True
1024,16777216,parallel,16,6,1217.6400423049927,1389.057,True
1024,16777216,parallel,16,7,1199.2199420928955,1332.917,True
1024,16777216,serial,16,7,1046.8000173568726,1186.956,True
1024,16777216,vector_only,16,7,809.2399835586548,919.164,True
1024,16777216,matrix_only,16,7,399.9600112438202,530.833,True
1024,16777216,matrix_only,16,8,408.45999121665955,518.033,True
1024,16777216,serial,16,8,1088.6800289154053,1201.366,True
1024,16777216,parallel,16,8,1192.639946937561,1317.077,True
1024,16777216,vector_only,16,8,818.0199861526489,957.675,True
1024,16777216,serial,16,9,1073.9400386810303,1212.037,True
1024,16777216,parallel,16,9,1206.4000368118286,1362.577,True
1024,16777216,vector_only,16,9,809.6399903297424,944.905,True
1024,16777216,matrix_only,16,9,406.0800075531006,550.563,True
1024,16777216,matrix_only,16,10,396.49999141693115,527.942,True
1024,16777216,serial,16,10,1072.1999406814575,1212.476,True
1024,16777216,vector_only,16,10,812.2199773788452,918.484,True
1024,16777216,parallel,16,10,1184.540033340454,1321.507,True
1024,16777216,matrix_only,16,11,420.72001099586487,580.673,True
1024,16777216,serial,16,11,1081.6199779510498,1212.676,True
1024,16777216,parallel,16,11,1198.8600492477417,1359.637,True
1024,16777216,vector_only,16,11,817.4200057983398,940.885,True
1024,16777216,parallel,16,12,1181.439995765686,1313.147,True
1024,16777216,matrix_only,16,12,415.16000032424927,541.373,True
1024,16777216,serial,16,12,1054.2999505996704,1182.926,True
1024,16777216,vector_only,16,12,811.9000196456909,941.485,True
1024,16777216,parallel,16,13,1216.7799472808838,1366.357,True
1024,16777216,serial,16,13,1060.1600408554077,1186.836,True
1024,16777216,matrix_only,16,13,410.180002450943,530.852,True
1024,16777216,vector_only,16,13,801.8800020217896,921.565,True
1024,16777216,serial,16,14,1078.5599946975708,1200.837,True
1024,16777216,parallel,16,14,1191.059947013855,1314.367,True
1024,16777216,vector_only,16,14,819.9599981307983,946.895,True
1024,16777216,matrix_only,16,14,404.55999970436096,525.502,True
1024,16777216,serial,16,15,1064.079999923706,1200.736,True
1024,16777216,matrix_only,16,15,409.92000699043274,545.163,True
1024,16777216,parallel,16,15,1184.999942779541,1303.206,True
1024,16777216,vector_only,16,15,795.3600287437439,938.745,True
1024,16777216,matrix_only,16,16,383.3799958229065,523.493,True
1024,16777216,parallel,16,16,1203.7800550460815,1326.656,True
1024,16777216,vector_only,16,16,810.9599947929382,925.885,True
1024,16777216,serial,16,16,1044.8399782180786,1188.336,True
1024,16777216,vector_only,16,17,806.2000274658203,932.395,True
1024,16777216,parallel,16,17,1214.419960975647,1344.186,True
1024,16777216,matrix_only,16,17,397.02001214027405,555.013,True
1024,16777216,serial,16,17,1066.0799741744995,1201.426,True
1024,16777216,vector_only,16,18,812.9000067710876,931.935,True
1024,16777216,matrix_only,16,18,429.8200011253357,555.683,True
1024,16777216,serial,16,18,1082.2800397872925,1200.526,True
1024,16777216,parallel,16,18,1222.8399515151978,1375.007,True
1024,16777216,matrix_only,16,19,397.61999249458313,533.733,True
1024,16777216,vector_only,16,19,802.5199770927429,932.324,True
1024,16777216,serial,16,19,1094.2599773406982,1232.066,True
1024,16777216,parallel,16,19,1185.3200197219849,1326.777,True
1024,16777216,matrix_only,16,20,390.639990568161,567.483,True
1024,16777216,vector_only,16,20,796.9599962234497,943.084,True
1024,16777216,parallel,16,20,1212.8000259399414,1335.127,True
1024,16777216,serial,16,20,1048.6199855804443,1183.936,True
1024,16777216,serial,16,21,1077.8800249099731,1206.516,True
1024,16777216,matrix_only,16,21,418.96000504493713,529.452,True
1024,16777216,vector_only,16,21,812.6000165939331,927.835,True
1024,16777216,parallel,16,21,1215.7399654388428,1333.737,True
1024,16777216,parallel,16,22,1215.2199745178223,1347.327,True
1024,16777216,matrix_only,16,22,393.5999870300293,525.193,True
1024,16777216,serial,16,22,1069.0200328826904,1201.217,True
1024,16777216,vector_only,16,22,813.5600090026855,933.305,True
1024,16777216,parallel,16,23,1217.2399759292603,1353.727,True
1024,16777216,serial,16,23,1066.3800239562988,1201.956,True
1024,16777216,matrix_only,16,23,408.7600111961365,519.482,True
1024,16777216,vector_only,16,23,795.3400015830994,923.415,True
1024,16777216,serial,16,24,1055.5200576782227,1176.666,True
1024,16777216,parallel,16,24,1200.4400491714478,1348.767,True
1024,16777216,matrix_only,16,24,429.3000102043152,553.592,True
1024,16777216,vector_only,16,24,798.1399893760681,925.945,True
1024,16777216,matrix_only,16,25,400.88000893592834,531.463,True
1024,16777216,parallel,16,25,1184.980034828186,1328.167,True
1024,16777216,serial,16,25,1075.279951095581,1206.766,True
1024,16777216,vector_only,16,25,828.4000158309937,951.135,True
1024,16777216,matrix_only,16,26,424.93999004364014,565.213,True
1024,16777216,parallel,16,26,1198.68004322052,1322.507,True
1024,16777216,vector_only,16,26,824.8000144958496,957.635,True
1024,16777216,serial,16,26,1062.459945678711,1190.316,True
1024,16777216,vector_only,16,27,792.1599745750427,926.435,True
1024,16777216,serial,16,27,1072.8800296783447,1185.936,True
1024,16777216,parallel,16,27,1183.459997177124,1337.877,True
1024,16777216,matrix_only,16,27,414.4800007343292,552.963,True
