id,kind,case,problem,cores,method,status,makespan,added_copy,calls,failed_calls,generation_errors,seconds
case_020_p1_n2_integrated,cold,case_020,1,2,integrated,success,266580,0,5,0,0,85.25618647300871
case_020_p1_n1_joint_tonight,cold,case_020,1,1,joint_tonight,success,532746,0,4,0,0,100.75242232700111
case_020_p1_n1_integrated,cold,case_020,1,1,integrated,success,532746,0,4,0,0,99.71606884400535
case_020_p1_n2_joint_tonight,cold,case_020,1,2,joint_tonight,success,266580,0,5,0,0,87.63588553799491
case_020_p1_n3_joint_tonight,cold,case_020,1,3,joint_tonight,success,177950,0,8,0,0,87.40529180600424
case_020_p1_n3_integrated,cold,case_020,1,3,integrated,success,177950,0,8,0,0,84.60870795499068
case_020_p1_n4_integrated,cold,case_020,1,4,integrated,success,133704,0,9,0,0,85.295820697007
case_020_p1_n4_joint_tonight,cold,case_020,1,4,joint_tonight,success,133704,0,9,0,0,88.24646382800711
case_020_p1_n5_integrated,cold,case_020,1,5,integrated,success,107187,0,12,0,0,110.37789964699186
case_021_p1_n1_integrated,cold,case_021,1,1,integrated,success,6202244,6656000,17,0,0,106.93932050799776
case_020_p1_n5_joint_tonight,cold,case_020,1,5,joint_tonight,success,107187,0,12,0,0,120.6910383249924
case_021_p1_n2_integrated,cold,case_021,1,2,integrated,success,3109260,9113600,15,0,0,80.03533645000425
case_021_p1_n1_joint_tonight,cold,case_021,1,1,joint_tonight,success,6202244,6656000,18,0,0,112.61130594900169
case_022_p1_n1_integrated,cold,case_022,1,1,integrated,success,56129,506880,10,0,0,16.041900807991624
case_022_p1_n1_joint_tonight,cold,case_022,1,1,joint_tonight,success,56129,506880,11,0,0,17.676417358001345
case_021_p1_n2_joint_tonight,cold,case_021,1,2,joint_tonight,success,3109260,9113600,16,0,0,101.85688561400457
case_022_p1_n2_integrated,cold,case_022,1,2,integrated,success,28344,6912,16,0,0,28.15920269700291
case_022_p1_n2_joint_tonight,cold,case_022,1,2,joint_tonight,success,28344,6912,17,0,0,30.71711589700135
case_022_p1_n4_integrated,cold,case_022,1,4,integrated,success,14610,6912,13,0,0,24.672110547006014
case_022_p1_n3_integrated,cold,case_022,1,3,integrated,success,19006,6912,15,0,0,28.43579832999967
case_022_p1_n4_joint_tonight,cold,case_022,1,4,joint_tonight,success,14610,6912,13,0,0,25.850228291004896
case_022_p1_n3_joint_tonight,cold,case_022,1,3,joint_tonight,success,19006,6912,15,0,0,30.231450895997114
case_023_p1_n1_integrated,cold,case_023,1,1,integrated,success,119735,206976,24,0,0,21.286000414009322
case_022_p1_n5_joint_tonight,cold,case_022,1,5,joint_tonight,success,11724,13824,17,0,0,34.21960249799304
case_022_p1_n5_integrated,cold,case_022,1,5,integrated,success,11724,13824,18,0,0,34.009073694003746
case_023_p1_n1_joint_tonight,cold,case_023,1,1,joint_tonight,success,119735,206976,24,0,0,21.60267341999861
case_021_p1_n4_joint_tonight,cold,case_021,1,4,joint_tonight,success,1550324,4608000,19,0,0,132.79169985100452
case_023_p1_n2_integrated,cold,case_023,1,2,integrated,success,59249,280992,24,0,0,24.27720137500728
case_021_p1_n4_integrated,cold,case_021,1,4,integrated,success,1550324,4608000,18,0,0,123.02487943299639
case_023_p1_n2_joint_tonight,cold,case_023,1,2,joint_tonight,success,59249,280992,24,0,0,32.43337426900689
case_023_p1_n3_integrated,cold,case_023,1,3,integrated,success,40825,354720,24,0,0,23.526954155007843
case_023_p1_n3_joint_tonight,cold,case_023,1,3,joint_tonight,success,40590,428448,24,0,0,24.657206055009738
case_023_p1_n4_integrated,cold,case_023,1,4,integrated,success,29988,281280,24,0,0,24.605464576001395
case_023_p1_n5_integrated,cold,case_023,1,5,integrated,success,23846,355008,24,0,0,23.79531224099628
case_023_p1_n5_joint_tonight,cold,case_023,1,5,joint_tonight,success,23846,355008,24,0,0,25.310410081001464
case_023_p1_n4_joint_tonight,cold,case_023,1,4,joint_tonight,success,29988,281280,24,0,0,44.1228785179992
case_021_p1_n3_integrated,cold,case_021,1,3,integrated,success,2097306,8755200,24,0,0,188.81440371699864
case_021_p1_n3_joint_tonight,cold,case_021,1,3,joint_tonight,success,2097306,8755200,24,0,0,201.76925911199942
case_021_p1_n5_integrated,cold,case_021,1,5,integrated,success,1243902,12800000,22,0,0,192.6788939609978
case_021_p1_n5_joint_tonight,cold,case_021,1,5,joint_tonight,success,1243525,12800000,24,0,0,217.3749018959934
case_024_p1_n1_integrated,cold,case_024,1,1,integrated,success,2555343,0,10,0,0,118.40894042699074
case_024_p1_n1_joint_tonight,cold,case_024,1,1,joint_tonight,success,2555343,0,10,0,0,119.5358357130026
case_024_p1_n2_integrated,cold,case_024,1,2,integrated,success,1603352,39393384,18,1,0,240.32959716799087
case_024_p1_n2_joint_tonight,cold,case_024,1,2,joint_tonight,success,1603352,39393384,16,1,0,240.36035578200244
case_024_p1_n3_joint_tonight,cold,case_024,1,3,joint_tonight,success,1315117,39393384,17,1,0,240.37969529800466
case_024_p1_n3_integrated,cold,case_024,1,3,integrated,success,1315117,39393384,19,1,0,240.3305701920035
case_024_p1_n4_integrated,cold,case_024,1,4,integrated,success,1214157,39393784,17,1,0,240.334885364995
case_024_p1_n4_joint_tonight,cold,case_024,1,4,joint_tonight,success,1212968,39393784,15,1,0,240.3938917649939
case_024_p1_n5_joint_tonight,cold,case_024,1,5,joint_tonight,success,1094110,39393584,16,1,0,240.40161095900112
case_026_p1_n1_joint_tonight,cold,case_026,1,1,joint_tonight,success,92662,19200,22,0,0,16.566012233000947
case_024_p1_n5_integrated,cold,case_024,1,5,integrated,success,1093563,39393584,18,1,0,240.33956194399798
case_026_p1_n1_integrated,cold,case_026,1,1,integrated,success,92662,19200,20,0,0,15.673247354992782
case_026_p1_n2_integrated,cold,case_026,1,2,integrated,success,51949,2736,24,0,0,16.014717822006787
case_025_p1_n1_integrated,cold,case_025,1,1,integrated,no_valid_plan,,,4,4,0,240.33037432300625
case_026_p1_n2_joint_tonight,cold,case_026,1,2,joint_tonight,success,51949,2736,24,0,0,16.904447385008098
case_026_p1_n3_integrated,cold,case_026,1,3,integrated,success,41655,95664,24,0,0,16.789272885987884
case_026_p1_n3_joint_tonight,cold,case_026,1,3,joint_tonight,success,41655,95664,24,0,0,18.010731886999565
case_026_p1_n4_integrated,cold,case_026,1,4,integrated,success,41688,0,24,0,0,17.66435227599868
case_025_p1_n1_joint_tonight,cold,case_025,1,1,joint_tonight,no_valid_plan,,,4,4,0,240.33384301699698
case_026_p1_n4_joint_tonight,cold,case_026,1,4,joint_tonight,success,41688,0,24,0,0,19.485673014001804
case_026_p1_n5_joint_tonight,cold,case_026,1,5,joint_tonight,success,41665,95664,24,0,0,19.21870165099972
case_025_p1_n2_joint_tonight,cold,case_025,1,2,joint_tonight,no_valid_plan,,,4,4,0,240.36097463499755
case_025_p1_n2_integrated,cold,case_025,1,2,integrated,no_valid_plan,,,4,4,0,240.3484293799993
case_026_p1_n5_integrated,cold,case_026,1,5,integrated,success,41665,95664,24,0,0,17.369080770993605
