config_id,case,problem,cores,group,variant,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,archived_plan
case_060_p1_n2,case_060,1,2,core_regression,persistent,0.01,441905,2754828,0.005547629287295797,2254836,plans/a26e33dc542602d65a342c890eff664d7e991b7b4fc619ef8de63997928bc936.json
case_060_p1_n2,case_060,1,2,core_regression,persistent,0.03,441905,2754828,0.005547629287295797,2254836,plans/a26e33dc542602d65a342c890eff664d7e991b7b4fc619ef8de63997928bc936.json
case_060_p1_n2,case_060,1,2,core_regression,mature,0.0,437641,2497668,0.0,0,plans/c6261ee1623fe650273093a0884a2faa57ef7536ec457e069a504cd6e07a1fc9.json
case_060_p1_n2,case_060,1,2,core_regression,mature,0.01,437641,2497668,0.0,0,plans/c6261ee1623fe650273093a0884a2faa57ef7536ec457e069a504cd6e07a1fc9.json
case_060_p1_n2,case_060,1,2,core_regression,mature,0.03,447523,2382988,0.022580151311234475,114680,plans/4ea766ab0a717b5dffcec225cfd6dff0db569639f1316dd87f59849a971ade70.json
case_003_p1_n5,case_003,1,5,development,legacy,0.0,332321,12163194,0.0,0,plans/ffef0ff9863ff5f196e95ea8db3f609050169138e5da7aa36f625e871cdbd6ee.json
case_003_p1_n5,case_003,1,5,development,legacy,0.01,335071,12023930,0.008275131574592143,139264,plans/1833e4a855af37e662759076bf01d96feb55a97847822aa2c43f0c5d2cb19478.json
case_003_p1_n5,case_003,1,5,development,legacy,0.03,337073,11909242,0.014299427360894956,253952,plans/27201200a6e65e8c203fd6a64b23887dba59ff2ba1eafe6a1e9c36f12867c6a4.json
case_003_p1_n5,case_003,1,5,development,persistent,0.0,375962,9615732,0.0,0,plans/5adb4cff8f516b46ae2c2bf13f5d999a7a872d89f541fc58d21eb466b14687c2.json
case_003_p1_n5,case_003,1,5,development,persistent,0.01,375962,9615732,0.0,0,plans/5adb4cff8f516b46ae2c2bf13f5d999a7a872d89f541fc58d21eb466b14687c2.json
case_003_p1_n5,case_003,1,5,development,persistent,0.03,375962,9615732,0.0,0,plans/5adb4cff8f516b46ae2c2bf13f5d999a7a872d89f541fc58d21eb466b14687c2.json
case_003_p1_n5,case_003,1,5,development,mature,0.0,221109,9306974,0.0,0,plans/c75cfa46a6ffb5c7eb7c05bf65f1aae606f7b703590fddfe1c8a2909c65dc199.json
case_003_p1_n5,case_003,1,5,development,mature,0.01,221109,9306974,0.0,0,plans/c75cfa46a6ffb5c7eb7c05bf65f1aae606f7b703590fddfe1c8a2909c65dc199.json
case_003_p1_n5,case_003,1,5,development,mature,0.03,221109,9306974,0.0,0,plans/c75cfa46a6ffb5c7eb7c05bf65f1aae606f7b703590fddfe1c8a2909c65dc199.json
case_047_p3_n2,case_047,3,2,core_regression,legacy,0.0,149574,903366,0.0,0,plans/f07acd578cbe36a5e4a830d865f93e2f15d7e3b500c97b178705185036fbe769.json
case_047_p3_n2,case_047,3,2,core_regression,legacy,0.01,150531,902790,0.006398170805086423,576,plans/a4ed8288c94806de0490c70a7c7265612b4efb407f7061938015c3570fccce11.json
case_047_p3_n2,case_047,3,2,core_regression,legacy,0.03,150531,902790,0.006398170805086423,576,plans/a4ed8288c94806de0490c70a7c7265612b4efb407f7061938015c3570fccce11.json
case_047_p3_n2,case_047,3,2,core_regression,persistent,0.0,150257,902790,0.0,0,plans/6b2138899e57128c1ab09d723785b164f716d7db92404f10514d0b621f90509f.json
case_047_p3_n2,case_047,3,2,core_regression,persistent,0.01,150257,902790,0.0,0,plans/6b2138899e57128c1ab09d723785b164f716d7db92404f10514d0b621f90509f.json
case_047_p3_n2,case_047,3,2,core_regression,persistent,0.03,150257,902790,0.0,0,plans/6b2138899e57128c1ab09d723785b164f716d7db92404f10514d0b621f90509f.json
case_047_p3_n2,case_047,3,2,core_regression,mature,0.0,155794,762886,0.0,0,plans/878cf3ddac91c9f15bc59ffeeb3f6073dce5c5daf72fbedeb736fc26f1ab60c2.json
case_047_p3_n2,case_047,3,2,core_regression,mature,0.01,155794,762886,0.0,0,plans/878cf3ddac91c9f15bc59ffeeb3f6073dce5c5daf72fbedeb736fc26f1ab60c2.json
case_047_p3_n2,case_047,3,2,core_regression,mature,0.03,155794,762886,0.0,0,plans/878cf3ddac91c9f15bc59ffeeb3f6073dce5c5daf72fbedeb736fc26f1ab60c2.json
case_035_p2_n5,case_035,2,5,development,legacy,0.0,41448,1126424,0.0,0,plans/4ca7b5f1a28499cf6f18479837d8039365556f2275900db0aabe91d7d369e51b.json
case_035_p2_n5,case_035,2,5,development,legacy,0.01,41804,1112074,0.008589075468056429,14350,plans/6cd5267de6eb3f2478a3f0ccc1f30f54903e929dfdc6b4b9c77601f3b10a61e1.json
case_035_p2_n5,case_035,2,5,development,legacy,0.03,41804,1112074,0.008589075468056429,14350,plans/6cd5267de6eb3f2478a3f0ccc1f30f54903e929dfdc6b4b9c77601f3b10a61e1.json
case_035_p2_n5,case_035,2,5,development,persistent,0.0,41934,1130528,0.0,0,plans/17d129cd251ccd0c3322ed2458322508350d22aab01618648385c5ae8d0951ff.json
case_035_p2_n5,case_035,2,5,development,persistent,0.01,41934,1130528,0.0,0,plans/17d129cd251ccd0c3322ed2458322508350d22aab01618648385c5ae8d0951ff.json
case_035_p2_n5,case_035,2,5,development,persistent,0.03,41934,1130528,0.0,0,plans/17d129cd251ccd0c3322ed2458322508350d22aab01618648385c5ae8d0951ff.json
case_035_p2_n5,case_035,2,5,development,mature,0.0,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_035_p2_n5,case_035,2,5,development,mature,0.01,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_035_p2_n5,case_035,2,5,development,mature,0.03,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_037_p3_n5,case_037,3,5,existing_regression,legacy,0.0,43013,1761280,0.0,0,plans/b24e722afdcbc9388e069bc9b8af60b6aa43a1dd9304f518ab53d4fd1f7dd633.json
case_037_p3_n5,case_037,3,5,existing_regression,legacy,0.01,43013,1761280,0.0,0,plans/b24e722afdcbc9388e069bc9b8af60b6aa43a1dd9304f518ab53d4fd1f7dd633.json
case_037_p3_n5,case_037,3,5,existing_regression,legacy,0.03,43013,1761280,0.0,0,plans/b24e722afdcbc9388e069bc9b8af60b6aa43a1dd9304f518ab53d4fd1f7dd633.json
case_037_p3_n5,case_037,3,5,existing_regression,persistent,0.0,43013,1925120,0.0,0,plans/835411a285f111e337d65cc86240498f8ed145c5267ae7ead080ca6454ebe3f9.json
