case,problem,cores,before,after,reduction,before_added_copy,after_added_copy,source_summary,plan,plan_sha256,replay_record,replay_reused,cache_byte_hit_rate
case_031,3,5,304955,286893,0.05922841074912688,8075520,6715392,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_031/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_031_multicore_res.json,c3ea2acb723e77a26dfd363afe426edb68f098a78b28cd18a864cd3fe6a33d7a,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_031_3_5_c3ea2acb723e77a2/attempts/20260925T215046-7dd87b0193ba47128831b580b254473d/record.json,True,0.42972459532424623
case_032,1,5,10415,10110,0.029284685549687994,12360,55440,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_032/p1_n5/v2/summary.json,新增精选方案/p1/n5/case_032_multicore_res.json,aed1ab03e9f3c216547191e62390902f009383f66a66641ffc48d9b8e3ea0097,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_032_1_5_aed1ab03e9f3c216/attempts/20260925T215055-14a9292c5d2f48c4bfe961444b7e8c0d/record.json,True,
case_032,3,5,9917,9829,0.008873651305838504,10240,92342,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_032/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_032_multicore_res.json,9c74831b83ff8ac8615f79b66b8f144372f7b5f0274cf8a82c6c357c0985b671,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_032_3_5_9c74831b83ff8ac8/attempts/20260925T215055-ce96bea21f6e42b2987e0a4fc47b4e59/record.json,True,0.2386193827828912
case_033,2,5,368931,359574,0.025362466152207275,4929600,7665792,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_033/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_033_multicore_res.json,1e5cb62a601da34f36d6da42ec189c86e73615607132ea8c8afb494cd0f3e39d,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_033_2_5_1e5cb62a601da34f/attempts/20260925T215031-95cf8cf1aae7417fbd46ad89c7e4be7c/record.json,True,
case_033,3,5,368435,356432,0.03257833810577171,4929600,16531092,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_033/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_033_multicore_res.json,84dd04564208035556dd346c978626b9f396e465773ada18f37104d60cdcaae8,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_033_3_5_84dd045642080355/attempts/20260925T215029-30b41d2d9a384915857cb2a459c9085a/record.json,True,0.4203971442385509
case_034,2,5,163827,160031,0.023170783814633777,2803712,3529728,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_034/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_034_multicore_res.json,d18fb49ca7f746233f4dedce05d68948c5f65682bff4d224ea01dbf1b2a76f97,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_034_2_5_d18fb49ca7f74623/attempts/20260925T215106-8130ab862ad241a9a2cd222781998c17/record.json,True,
case_038,2,5,277456,274362,0.01115131768640798,7258624,7547392,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_038/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_038_multicore_res.json,2a61b3a0c29fd0cc262213cb60913c7b017f52b6aff95e1aee67aed0cff9ffcb,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_038_2_5_2a61b3a0c29fd0cc/attempts/20260925T215112-d29ee7884a7f4f35b90f78ea15d2a729/record.json,True,
case_038,3,5,275192,274634,0.002027675223116976,9667584,7870464,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_038/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_038_multicore_res.json,303893a128886491d391457de1d400f1f2c2618be9e6bd617b3db83fd4ccd8a4,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_038_3_5_303893a128886491/attempts/20260925T215111-3211fc8a41844504a886619979ec8fc9/record.json,True,0.6272197671442113
case_039,3,5,300221,298213,0.006688406207427167,10452992,16588800,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_039/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_039_multicore_res.json,14b988fd97ee5b05ac535becbfb025315932e83b9b8d08b6c005c0e11eb980f0,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_039_3_5_14b988fd97ee5b05/attempts/20260925T215004-a40f2605b087467b8e647cdb212cab77/record.json,True,0.5833663366336633
case_042,2,5,354324,347174,0.020179270949752248,6993920,10476936,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_042/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_042_multicore_res.json,80a87ac36dccf500482b6fe7a1b54ee7b94cc4c486ca2a291ada4d138d3ea0b6,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_042_2_5_80a87ac36dccf500/attempts/20260925T215049-724212607e1146f7b7a5ba3b5ea85a1e/record.json,True,
