size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,1048576,matrix_only,16,8,324.91999864578247,403.322,True
1024,1048576,serial,16,8,403.2000005245209,472.532,True
1024,1048576,vector_only,16,8,186.05999648571014,269.871,True
1024,1048576,parallel,16,8,340.5199944972992,444.152,True
1024,1048576,serial,16,9,400.4000127315521,474.232,True
1024,1048576,parallel,16,9,357.479989528656,438.112,True
1024,1048576,matrix_only,16,9,324.44000244140625,396.842,True
1024,1048576,vector_only,16,9,181.7999929189682,256.512,True
1024,1048576,parallel,16,10,356.0599982738495,464.662,True
1024,1048576,serial,16,10,401.1000096797943,478.143,True
1024,1048576,matrix_only,16,10,324.7399926185608,399.022,True
1024,1048576,vector_only,16,10,181.5599948167801,250.841,True
1024,1048576,vector_only,16,11,181.85999989509583,257.161,True
1024,1048576,serial,16,11,401.74001455307007,474.622,True
1024,1048576,matrix_only,16,11,326.9999921321869,413.172,True
1024,1048576,parallel,16,11,346.48001194000244,447.172,True
1024,1048576,matrix_only,16,12,324.5199918746948,398.692,True
1024,1048576,serial,16,12,399.8999893665314,471.802,True
1024,1048576,parallel,16,12,359.8800003528595,466.392,True
1024,1048576,vector_only,16,12,181.7999929189682,267.781,True
1024,1048576,matrix_only,16,13,323.63998889923096,396.712,True
1024,1048576,serial,16,13,400.5799889564514,473.412,True
1024,1048576,vector_only,16,13,180.60000240802765,258.141,True
1024,1048576,parallel,16,13,376.2800097465515,487.132,True
1024,1048576,matrix_only,16,14,326.0999917984009,409.152,True
1024,1048576,parallel,16,14,340.0599956512451,444.032,True
1024,1048576,vector_only,16,14,177.76000499725342,249.882,True
1024,1048576,serial,16,14,395.28000354766846,469.482,True
1024,1048576,vector_only,16,15,179.8200011253357,257.571,True
1024,1048576,serial,16,15,402.5599956512451,486.592,True
1024,1048576,matrix_only,16,15,325.19999146461487,399.901,True
1024,1048576,parallel,16,15,351.3599932193756,435.972,True
1024,1048576,parallel,16,16,380.62000274658203,470.322,True
1024,1048576,serial,16,16,400.22000670433044,477.532,True
1024,1048576,vector_only,16,16,179.44000661373138,250.272,True
1024,1048576,matrix_only,16,16,321.83998823165894,397.452,True
1024,1048576,parallel,16,17,346.2199866771698,456.742,True
1024,1048576,serial,16,17,404.3999910354614,487.602,True
1024,1048576,matrix_only,16,17,324.5199918746948,394.462,True
1024,1048576,vector_only,16,17,182.01999366283417,252.232,True
1024,1048576,parallel,16,18,377.3599863052368,463.192,True
1024,1048576,vector_only,16,18,184.2000037431717,262.192,True
1024,1048576,serial,16,18,401.2799859046936,477.332,True
1024,1048576,matrix_only,16,18,325.8399963378906,399.451,True
1024,1048576,parallel,16,19,345.2799916267395,446.952,True
1024,1048576,matrix_only,16,19,322.42000102996826,396.542,True
1024,1048576,serial,16,19,414.1800105571747,489.742,True
1024,1048576,vector_only,16,19,181.60000443458557,256.191,True
1024,1048576,matrix_only,16,20,325.0199854373932,398.811,True
1024,1048576,vector_only,16,20,181.53999745845795,250.841,True
1024,1048576,parallel,16,20,379.73999977111816,463.962,True
