case,problem,cores,call,name,action,success,local_time_improved,global_accepted,global_time_improved,moved_ops,cross_old_task_blocks,partition_changed,parent_time,candidate_time,copy_delta
case_075,1,5,19,p1_region_r0_cap8192_affinity_raw,p1_region,True,True,False,False,6312,142,True,1450841,1057851,7063950
case_075,1,5,20,p1_region_r0_cap8192_affinity_raw,p1_region,True,True,False,False,6296,131,True,1452338,1057851,8025674
case_075,1,5,21,p1_region_r3_cap4096_branch_raw,p1_region,True,False,False,False,3206,82,True,678468,750203,3393118
case_075,1,5,22,p1_region_r3_cap4096_branch_raw,p1_region,False,False,False,False,,,,,,
case_085,1,5,6,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,True,True,3286,199,True,3042113,2627370,6158250
case_085,1,5,7,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3083,263,True,3721156,3076571,4184632
case_085,1,5,8,p1_region_r0_cap4096_affinity_raw,p1_region,True,True,False,False,3006,146,True,3067874,2661077,7477350
case_085,1,5,9,p1_region_r1_cap4096_branch_raw,p1_region,True,True,True,True,3399,62,True,2627370,2081783,14917586
case_085,1,5,10,p1_region_r1_cap8192_branch_raw,p1_region,False,False,False,False,,,,,,
case_087,1,5,5,p1_region_r0_cap4096_affinity_raw,p1_region,True,False,False,False,1337,183,True,908455,1035280,6194000
case_087,1,5,8,p1_region_r1_cap4096_branch_raw,p1_region,True,True,True,True,31,1,True,862485,862132,257856
case_095,2,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,12,,,420852,420543,36864
case_095,2,5,9,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,3,,,1889006,1887420,-73728
case_095,2,5,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,12,,,220188,223292,36864
case_095,2,5,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,2,,,1839073,1839811,18432
case_095,2,5,13,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,8,,,420852,420749,0
case_095,2,5,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,2046291,2039141,0
case_095,2,5,15,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,2,,,1889006,1888683,-36864
case_095,2,5,18,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,6,,,1887420,1888402,-110976
case_095,2,5,19,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,True,False,False,12,,,420852,420543,36864
case_095,2,5,20,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,1,,,2046291,2037587,-36864
case_095,2,5,21,persistent_p23_r0_3_related_chain_move,related_chain_move,True,True,False,False,1,,,1889006,1888499,-36864
case_095,2,5,22,persistent_p23_r0_2_related_chain_move,related_chain_move,True,False,False,False,8,,,220188,220188,0
case_095,2,5,23,persistent_p23_r1_2_related_chain_move,related_chain_move,True,False,False,False,1,,,1839073,1839195,-18432
case_095,3,5,7,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,12,,,420852,420543,36864
case_095,3,5,9,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,3,,,1876219,1875653,-73728
case_095,3,5,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,12,,,220188,223292,36864
case_095,3,5,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,2,,,1823850,1825684,18432
case_095,3,5,13,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,8,,,420852,420749,0
case_095,3,5,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,2046291,2039141,0
case_095,3,5,15,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,False,False,False,0,,,1876219,1878379,0
case_095,3,5,18,persistent_p23_r2_1_related_chain_exchange,related_chain_exchange,True,False,False,False,2,,,1874927,1875075,-36864
case_095,3,5,19,persistent_p23_r0_3_related_chain_exchange,related_chain_exchange,True,True,False,False,12,,,420852,420543,36864
case_095,3,5,20,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,True,False,False,0,,,2046291,2042537,0
case_095,3,5,21,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,6,,,1875653,1874993,-110976
