case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_022,2,5,min_copy_within_1pct_time,11654,20736,,1.0,0,p2/case_022/min_copy_within_1pct_time.json,b6098c2c7e72faa611b442a712314cfe89cb0b659e6487eb1555f79b9443413b
case_022,2,5,min_copy_within_3pct_time,11654,20736,,1.0,0,p2/case_022/min_copy_within_3pct_time.json,b6098c2c7e72faa611b442a712314cfe89cb0b659e6487eb1555f79b9443413b
case_022,2,5,time_first,11654,20736,,1.0,0,p2/case_022/time_first.json,b6098c2c7e72faa611b442a712314cfe89cb0b659e6487eb1555f79b9443413b
case_023,2,5,min_copy_within_1pct_time,17694,280992,,1.0,0,p2/case_023/min_copy_within_1pct_time.json,aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d
case_023,2,5,min_copy_within_3pct_time,17694,280992,,1.0,0,p2/case_023/min_copy_within_3pct_time.json,aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d
case_023,2,5,time_first,17694,280992,,1.0,0,p2/case_023/time_first.json,aa419f2cabd50dc4e40fb3797195d3e2b652aea3b9de413323c89155bd90f98d
case_024,2,5,min_copy_within_1pct_time,747674,235424,,1.0017001493827078,4,p2/case_024/min_copy_within_1pct_time.json,c2cfc9770e5761d48baab4db97be281c92d499f76a8aeae5ed08629cc7524795
case_024,2,5,min_copy_within_3pct_time,747674,235424,,1.0017001493827078,4,p2/case_024/min_copy_within_3pct_time.json,c2cfc9770e5761d48baab4db97be281c92d499f76a8aeae5ed08629cc7524795
case_024,2,5,time_first,746405,235428,,1.0,0,p2/case_024/time_first.json,aca5957249c3735e652e34aa283d9c62d7d83eca19dc68ace0204e0c74415629
case_025,2,5,min_copy_within_1pct_time,942938,110592,,1.0006239719849312,7680,p2/case_025/min_copy_within_1pct_time.json,c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8
case_025,2,5,min_copy_within_3pct_time,942938,110592,,1.0006239719849312,7680,p2/case_025/min_copy_within_3pct_time.json,c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8
case_025,2,5,time_first,942350,118272,,1.0,0,p2/case_025/time_first.json,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4
case_026,2,5,min_copy_within_1pct_time,30215,891952,,1.0,0,p2/case_026/min_copy_within_1pct_time.json,496982f2e76379dfd25ad227e832f11125b3b3ebaa1a4edf41a39bca30299d26
