case,problem,cores,method,call,phase,status,best_makespan
case_029,3,5,budget_beam,12,legacy,success,9383
case_021,3,5,baseline,1,component,success,1249380
case_021,3,5,baseline,2,component,success,1249380
case_021,3,5,baseline,3,wcc,success,1249380
case_021,3,5,baseline,4,wcc,success,1249380
case_021,3,5,baseline,5,wcc_probe,success,1249380
case_021,3,5,baseline,6,operation,success,1249380
case_021,3,5,baseline,7,operation,success,1249380
case_021,3,5,baseline,8,trace,success,1249380
case_021,3,5,baseline,9,trace,success,1249380
case_021,3,5,baseline,10,p3_cache,success,1249311
case_021,3,5,baseline,11,p3_cache,success,1249311
case_021,3,5,baseline,12,p3_cache,success,1249311
case_094,2,5,budget_greedy,1,component,success,24943
case_094,2,5,budget_greedy,2,component,success,24943
case_094,2,5,budget_greedy,3,wcc,success,24943
case_094,2,5,budget_greedy,4,wcc,success,22294
case_094,2,5,budget_greedy,5,component,success,22294
case_094,2,5,budget_greedy,6,wcc,success,17755
case_094,2,5,budget_greedy,7,structure_pair,success,17465
case_094,2,5,budget_greedy,8,structure,success,17465
case_094,2,5,budget_greedy,9,legacy,success,17465
case_094,2,5,budget_greedy,10,region,success,17465
case_094,2,5,budget_greedy,11,structure,success,17465
case_094,2,5,budget_greedy,12,structure_pair,success,17465
case_021,2,5,local_legacy,1,component,success,1250168
case_021,2,5,local_legacy,2,component,success,1250168
case_021,2,5,local_legacy,3,wcc,success,1250168
case_021,2,5,local_legacy,4,wcc,success,1250168
case_021,2,5,local_legacy,5,wcc_probe,success,1250168
case_021,2,5,local_legacy,6,operation,success,1250168
case_021,2,5,local_legacy,7,legacy,success,1250168
case_021,2,5,local_legacy,8,legacy,success,1250168
case_021,2,5,local_legacy,9,structure,success,1250168
case_021,2,5,local_legacy,10,structure,success,1250168
case_021,2,5,local_legacy,11,structure,success,1250168
case_021,2,5,local_legacy,12,structure,success,1250168
case_029,2,5,budget_beam,1,component,success,9383
case_029,2,5,budget_beam,2,component,success,9383
case_029,2,5,budget_beam,3,operation,success,9383
case_029,2,5,budget_beam,4,operation,success,9383
case_029,2,5,budget_beam,5,trace,success,9383
case_029,2,5,budget_beam,6,trace,success,9383
case_029,2,5,budget_beam,7,structure,success,9383
case_029,2,5,budget_beam,8,legacy,success,9383
case_029,2,5,budget_beam,9,region,success,9383
case_029,2,5,budget_beam,10,structure,success,9383
case_029,2,5,budget_beam,11,data,success,9383
case_029,2,5,budget_beam,12,legacy,success,9383
case_029,3,5,budget_greedy,1,component,success,9383
case_029,3,5,budget_greedy,2,component,success,9383
case_029,3,5,budget_greedy,3,operation,success,9383
case_029,3,5,budget_greedy,4,operation,success,9383
case_029,3,5,budget_greedy,5,trace,success,9383
case_029,3,5,budget_greedy,6,trace,success,9383
case_029,3,5,budget_greedy,7,structure,success,9383
case_029,3,5,budget_greedy,8,legacy,success,9383
case_029,3,5,budget_greedy,9,region,success,9383
case_029,3,5,budget_greedy,10,structure,success,9383
case_029,3,5,budget_greedy,11,data,success,9383
case_029,3,5,budget_greedy,12,legacy,success,9383
case_040,2,5,budget_greedy,1,component,success,110337
case_040,2,5,budget_greedy,2,component,success,110337
case_040,2,5,budget_greedy,3,wcc,success,104200
case_040,2,5,budget_greedy,4,wcc,success,104200
case_040,2,5,budget_greedy,5,operation,success,104200
case_040,2,5,budget_greedy,6,operation,success,104200
case_040,2,5,budget_greedy,7,structure,success,104200
case_040,2,5,budget_greedy,8,structure_pair,success,104200
case_040,2,5,budget_greedy,9,legacy,success,104200
case_040,2,5,budget_greedy,10,region,success,103951
case_040,2,5,budget_greedy,11,structure,success,103951
case_040,2,5,budget_greedy,12,data,success,103922
case_029,2,5,budget_greedy,1,component,success,9383
case_029,2,5,budget_greedy,2,component,success,9383
case_029,2,5,budget_greedy,3,operation,success,9383
case_029,2,5,budget_greedy,4,operation,success,9383
case_029,2,5,budget_greedy,5,trace,success,9383
case_029,2,5,budget_greedy,6,trace,success,9383
case_029,2,5,budget_greedy,7,structure,success,9383
case_029,2,5,budget_greedy,8,legacy,success,9383
case_029,2,5,budget_greedy,9,region,success,9383
case_029,2,5,budget_greedy,10,structure,success,9383
case_029,2,5,budget_greedy,11,data,success,9383
case_029,2,5,budget_greedy,12,legacy,success,9383
case_029,3,5,wide_legacy,1,component,success,9383
case_029,3,5,wide_legacy,2,component,success,9383
case_029,3,5,wide_legacy,3,operation,success,9383
case_029,3,5,wide_legacy,4,operation,success,9383
case_029,3,5,wide_legacy,5,trace,success,9383
case_029,3,5,wide_legacy,6,trace,success,9383
