case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_002,1,5,validation,joint,12,12,65443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,1,5,validation,joint,16,16,65443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,joint,8,8,334416,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,joint,12,12,331480,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,1,5,validation,joint,16,16,331480,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,strong,8,8,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,strong,12,12,85598,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,strong,16,16,85598,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,strong,8,8,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,strong,12,12,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,2,lowcore,strong,16,16,140273,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,strong,8,8,92198,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,strong,12,12,91658,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,2,lowcore,strong,16,16,89561,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,joint,8,8,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,joint,12,12,85598,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,3,lowcore,joint,16,16,82017,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,joint,8,8,9521682,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,joint,12,12,9044770,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,2,5,validation,joint,16,16,8250713,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,joint,8,8,91784,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,joint,12,12,85399,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,joint,16,16,85399,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,2,lowcore,strong,8,8,319230,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,2,lowcore,strong,12,12,319230,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,2,lowcore,strong,16,16,319230,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,strong,8,8,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,strong,12,12,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,2,5,validation,strong,16,16,327678,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,strong,8,8,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,strong,12,12,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,strong,16,16,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,joint,8,8,10074287,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,joint,12,11,9764657,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,joint,16,11,9764657,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,strong,8,8,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,strong,12,12,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,strong,16,16,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,joint,8,8,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,joint,12,12,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,joint,16,16,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,strong,8,8,127203,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,strong,12,12,100309,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,strong,16,16,100309,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,joint,8,8,17325,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,joint,12,12,16469,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,joint,16,16,15155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
