case,problem,cores,variant,group,status,makespan,added_copy,logical_calls,new_calls,failures,timeouts,elapsed_seconds,tail_generation_seconds,prefix_reported_generation_seconds,prefix_elapsed_seconds,stop_reason,summary,time_b8,time_b12,time_b16
case_051,3,3,joint,lowcore,success,227940,263200,16,16,0,0,8.01674640001147,0.9900810510152951,0.20983206198434345,5.334938029991463,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p3_n3/joint/summary.json,227940,227940,227940
case_047,2,5,strong,development,success,100309,2698072,16,16,0,0,85.40286751301028,0.0,3.2548057659587357,85.22045663799508,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_047/p2_n5/strong/summary.json,127203,100309,100309
case_064,1,5,joint,development,success,15155,148968,16,16,0,0,7.175318102003075,0.7488719370157924,0.6821571459877305,4.938177059986629,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_064/p1_n5/joint/summary.json,17325,16469,15155
case_046,3,4,strong,lowcore,success,77846,2791200,15,15,0,0,4.68074496902409,0.0,0.2945360939775128,4.665843667025911,pool_exhausted,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p3_n4/strong/summary.json,77846,77846,77846
case_075,1,5,strong,development,success,616955,11314228,16,16,1,1,180.09714887299924,0.0,36.43814662494697,180.0215961409849,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_075/p1_n5/strong/summary.json,925892,760157,616955
case_028,3,5,strong,validation,success,8523550,149802792,16,16,0,0,137.2010205250117,0.0,9.416121460002614,136.97262583399424,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_028/p3_n5/strong/summary.json,9447245,8946507,8523550
case_095,1,2,joint,lowcore,success,1042860,73728,16,16,0,0,65.30695891400683,2.6240925659949426,3.4862657619814854,42.87818782101385,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_095/p1_n2/joint/summary.json,1042860,1042860,1042860
case_042,3,5,joint,validation,success,348844,10597376,16,16,0,0,41.4851449940179,12.080473721027374,5.048154301010072,23.19862311700126,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_042/p3_n5/joint/summary.json,352216,352216,348844
case_051,1,5,strong,development,success,259576,9111024,16,16,0,0,11.746773374994518,0.0,1.7464776589768007,11.729382288001943,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_051/p1_n5/strong/summary.json,260123,260123,259576
case_002,3,5,strong,validation,success,59289,642048,16,16,0,0,10.472311666992027,0.0,0.32884737497079186,10.449642351013608,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/strong/summary.json,59289,59289,59289
