case,makespan,plan_sha256,hit_rate,peak_cache_bytes,evicted_entries,hit_count,hit_bytes,first_miss_count,first_miss_bytes,pre_first_insert_repeat_miss_count,pre_first_insert_repeat_miss_bytes,post_eviction_miss_count,post_eviction_miss_bytes,oversize_miss_count,oversize_miss_bytes,ddr_busy_cycles,cache_busy_cycles,simultaneous_pools_cycles,max_ddr_concurrency,max_cache_concurrency
case_073,1713089,862c5c5efebde0ea76cf65abe50ef9bf962cefe7c7dd6a4a7b0515397c476be1,0.7909809511468188,1044480,68,188,14844928,89,3881344,12,41472,0,0,0,0,68134,59448,497,5,4
case_074,324729,835116fcdf907adb0b7a4ce88e1c8a08e99b48ba3959ec41e6c7c592cf26b829,0.5908428247604878,1048576,462,1121,6766592,621,4243480,46,360448,12,81920,0,0,86376,27553,7284,8,4
case_075,378486,a26a157e7f71881bc9c3a172b7432a064668f3b8d172caf29a3b04adc1833cdc,0.3174036133601978,1048576,2616,1071,3006680,3211,6058182,113,407872,0,0,0,0,211626,12826,8305,10,4
case_076,1226840,5a25e945928e86a440acc44e4a50f979e85a307cf7d9ca469e328a922f2bf172,0.5350736143912366,1048576,6704,9236,21808128,1739,4269056,107,264192,5421,14415872,0,0,322664,94436,22596,7,4
case_077,101185,32195a94f1fdbf37eb5b51f49461a8f31dc943d0e4375d0361996505526be65a,0.033018342199395624,1048576,244,17,94208,468,2595148,15,122880,13,40966,0,0,53966,385,299,6,1
case_078,460314,aa5543c8e80111a3e77b4a794378cc609ddc785275454170a99e879f32f82826,0.31871102537088186,1048512,384,274,4298040,519,4411008,43,4733640,7,43008,0,0,199360,17344,9185,8,3
case_079,6022654,247644f0a6a5b294c538006b0fd275b73184ad792b596c299efd2881366d9f22,0.21343481138318995,1048576,9586,1969,11888640,1125,5849088,297,1824768,8717,36139008,0,0,797156,48409,5860,9,4
case_080,72871,d8d290a3218153cfdda90e3835603a3372cc316617d955dca8411856c55c594a,0.3010752688172043,1048576,128,249,1146880,279,1904640,154,757760,0,0,0,0,45875,4729,3399,5,3
case_081,30943,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93,0.0,1044820,0,0,0,680,1044820,0,0,0,0,0,0,29920,0,0,10,0
case_082,192108,4c04c0bce0155c1820f1827a20d769da26a53e0a6c45dfb03718fa8437b4ef88,0.30233621842234887,1048576,1378,579,1529554,2028,3400662,88,123780,2,5120,0,0,126187,6557,4694,10,3
case_083,184594,b222e3129289cd55fecc88d68ba89068e382a573082f7b7dd550c9561ea87d67,0.18958848353999386,1048512,18,49,930112,81,1184352,151,2791488,0,0,0,0,70619,3743,2862,5,1
case_084,256584,20b8a41e57591aece22c71debec2d53f52e018da8b07af1e2f53a94107d4bd93,0.0,1047802,3855,0,0,4308,9927786,0,0,0,0,0,0,225093,0,0,10,0
case_085,918105,d8a60436f063650d82eae0489b0c1f7797e47b68cd4d90621755ce1a916d3315,0.24890381230250724,1048576,10142,2372,5486640,10802,16081302,215,419844,25,55428,0,0,597527,23761,15497,10,4
case_086,39500,228c8f5be5b1ab2b231f905e5a7449774a1dfa4d8bbd382797d28d3ac7b053b8,0.44188906370854947,847670,0,449,768978,760,847670,54,123558,0,0,0,0,32885,3335,2500,10,3
case_087,790292,2cb5c231412114be5cd807792de8607d3c0385e201530d77922c11e212395151,0.2614837363507268,1048562,2615,1086,4999682,1062,6084380,3,13824,1750,8022546,0,0,239177,20616,6926,6,3
case_088,75604,7a8ddff03083d589de2f005cd307cb6add52a062aac82f7fe073870a5634c911,0.2598511488930383,1048574,389,331,1003924,765,2343438,42,516096,0,0,0,0,62196,4273,3165,9,3
case_089,119306,71a9dce5a1398e6132e033d6b44212a79e7b3ec842352dbfcc64d13b7530c4c0,0.0,402560,0,0,0,94,402560,216,954880,0,0,0,0,25570,0,0,5,0
case_090,194679,5d1432e1390265a1bbfddd0f0e445e5de368c09339ac387ea9c3930890054052,0.5067287830763204,1036800,39,114,5463720,67,2188416,102,3130200,0,0,0,0,89405,21906,16648,5,3
case_091,1820358,69d275bb6bfe69e30da6a1d15b5d5a5630d954cfd4d9b5e7572f5f870596cbde,0.5260621734686152,1048576,9479,9332,42686688,1449,6611456,140,1123840,8376,30721824,0,0,648830,176277,57389,8,3
case_092,785869,97453af7d55f3cc75980a63e308547735472f738245cb4b8361c8bb974c3260c,0.16450183745163535,1048576,144,86,975488,206,2208352,114,2746112,0,0,0,0,104092,3946,18,5,2
case_093,15664,01fcf06e664c2f62a20ed391a32f73287e28dd3f25443378d7da5e069a55a1fe,0.033783783783783786,573440,0,10,20480,280,573440,6,12288,0,0,0,0,12425,90,0,10,5
case_094,16243,79985c6dd1c1792cbc5d10e9823e97f7129cb8748881bdcc5ea862edc41ff6f5,0.22195453151693023,471328,0,34,162144,104,471328,13,97056,0,0,0,0,10469,667,588,7,2
case_095,220188,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982,0.0,1044610,1626,0,0,1848,8516508,0,0,0,0,0,0,190806,0,0,10,0
case_096,23645,847c30ea510d7c1ce6db27480decbf244acb352975e3fb5aae43bdf5f405ce2e,0.3063342257528447,654376,0,111,313742,411,654376,4,56064,0,0,0,0,20661,1337,1253,9,3
case_097,2094984,8a42ce6572a9ce8e7b899de42512f9113409c36c4b7b1c5fa897077ffa2ea177,0.7840384615384616,1048576,628,3272,16699392,832,4259840,56,339968,0,0,0,0,90372,68504,41831,5,5
case_098,43258,2cc47149f8aca26dd3e5053811ed1fe9ec37e48a2be31ae57e3695b95d25f29d,0.35561971618357485,1020310,0,144,565350,398,1020310,3,4100,0,0,0,0,23092,2367,1060,8,4
case_099,321604,4fc8e53a70b1899afc0740b20a9df67854097f4ca63de6c49abf61736be01254,0.7104568365469237,1048576,281,1602,6819840,556,2533632,39,245760,0,0,0,0,46931,28264,5226,6,5
case_100,58085,bbf30f1bd665f39b76cb0ec29292b88053e7e5b778b098e1de55a727df007a97,0.327124236466278,436006,0,20,211968,171,436006,0,0,0,0,0,0,7766,857,857,5,2
