case,cores,p2_time,p3_time,ratio_p2_over_p3,same_plan,p2_added_copy,p3_added_copy,hit_bytes,miss_bytes,hit_rate
case_001,3,78545,78545,1.0,True,2304,2304,0,822656,0.0
case_002,3,81890,82949,0.987233119145499,False,669696,635904,0,1540608,0.0
case_003,3,252518,247678,1.0195415014656126,False,10194904,10178520,1345384,5546384,0.1952160896884515
case_004,3,130725,130725,1.0,True,221184,221184,0,672768,0.0
case_005,3,34420,32392,1.0626080513707088,False,1262476,1152972,394380,645798,0.37914664605480985
case_006,3,31151,31151,1.0,True,30080,30080,16256,557088,0.028352960875146507
case_007,3,326994,326994,1.0,True,55296,55296,0,935424,0.0
case_008,3,87867,87867,1.0,True,0,0,0,1990872,0.0
case_009,3,80002,79991,1.0001375154704903,False,74240,95232,32768,526426,0.058598625879390694
case_010,3,29582,29343,1.008145043110793,False,48384,59904,41472,397902,0.09438883502437559
case_011,3,62289,62289,1.0,False,2531328,2535424,356352,1708032,0.17261904761904762
case_012,3,13844,13842,1.0001444877907817,True,32832,32832,19968,496960,0.03862820354091866
case_013,3,88351,88351,1.0,True,16384,16384,0,2039808,0.0
case_014,3,5904919,5842901,1.010614247956623,True,80211600,80211600,40292016,49831224,0.44707686940682556
case_015,3,54804,54371,1.0079638042338748,False,208128,1355008,115712,1554434,0.06928256571581168
case_016,3,2877801,2877208,1.0002061025827815,True,275564,275564,262752,399318,0.3968643798994064
case_017,3,38685,38445,1.0062426843542724,True,269972,269972,85632,676440,0.11236733536988631
case_018,3,325165,325023,1.000436892158401,True,2638208,2638208,2441600,1707284,0.5884956050831983
case_019,3,22000,22000,1.0,True,27168,27168,10784,195636,0.05224299970933049
case_020,3,177950,177950,1.0,True,0,0,0,1179648,0.0
case_021,3,2095417,2095417,1.0,True,28008448,28008448,3915776,14798848,0.20923615670825127
case_022,3,18346,18320,1.0014192139737992,False,13824,13824,4608,222756,0.02026706074840344
case_023,3,25878,25878,1.0,True,225568,225568,82208,563146,0.12738435029456702
case_024,3,954489,953896,1.0006216610615832,True,266588,266588,262344,395238,0.39895252607279397
case_025,3,1568824,1568824,1.0,True,55296,55296,0,4177920,0.0
case_026,3,41655,41481,1.0041946915455269,False,95664,105264,61488,526262,0.10461590812420246
case_027,3,745692,745692,1.0,True,12165120,12165120,0,7925760,0.0
case_028,3,13360974,13360974,1.0,True,32792832,32792832,0,23568768,0.0
case_029,3,12743,12743,1.0,True,0,0,0,258132,0.0
case_030,3,930940,930631,1.0003320327820586,True,12462080,12462080,5456896,6049792,0.4742368959686749
case_031,3,452413,450295,1.0047035832065645,False,6380544,6379520,3499008,5061236,0.4087509655098616
case_032,3,11874,11874,1.0,True,6144,6144,6144,279156,0.02153522607781283
case_033,3,581136,580115,1.0017599958628893,True,7235648,7235648,3600384,6067824,0.37239413963787293
case_034,3,250493,250493,1.0,True,1889280,1889280,1875968,2293296,0.44995183802225047
case_035,3,80191,80191,1.0,True,102400,102400,2048,447054,0.00456021126603756
case_036,3,311345,311345,1.0,True,2304,2304,0,3280256,0.0
case_037,3,74038,74038,1.0,False,491520,1064960,942080,655360,0.5897435897435898
case_038,3,446434,444979,1.0032698172273298,True,5902848,5902848,4829184,3382794,0.5880658715841665
case_039,3,483565,476822,1.0141415454823812,False,14925824,16646144,6545408,10424320,0.3857108375573256
case_040,3,100597,103323,0.9736167165103607,False,0,0,0,911174,0.0
case_041,3,1984993,1981686,1.0016687810278722,False,32312320,32323584,13228032,21218304,0.3840185498974405
case_042,3,565432,562499,1.0052142314919672,True,5593376,5593376,3545376,3590944,0.49680731805748624
case_043,3,218258,218258,1.0,True,1020724,1020724,239628,1823082,0.1161714443620286
case_044,3,53880,53762,1.0021948588222165,True,1860800,1860800,8576,2805152,0.003047913657610117
case_045,3,42214,42214,1.0,True,0,0,0,278528,0.0
case_046,3,79308,79308,1.0,True,1860800,1860800,1804928,1051808,0.6318147704233082
case_047,3,105024,108690,0.966271046094397,False,1709964,1560748,447628,941142,0.3223197505706488
case_048,3,99531,98100,1.0145871559633028,False,758442,725004,183500,665030,0.21625634921570244
case_049,3,102138,98019,1.0420224650322896,False,4936376,4899256,256746,2366800,0.0978622063421034
case_050,3,96327,65878,1.4622028598318104,False,203520,3295474,329288,1763804,0.1573213217574765
case_051,3,228533,227940,1.0026015618145125,True,263200,263200,262190,393698,0.3997481277291245
case_052,3,48171,48171,1.0,True,181248,181248,78592,912700,0.07928239106136234
case_053,3,420703,420703,1.0,True,1313356,1313356,123754,3987160,0.03010376767794218
case_054,3,356930,344159,1.0371078484072769,False,13371100,13371100,696892,7774910,0.08226018502320993
case_055,3,26196,26196,1.0,True,57856,57856,35840,647708,0.052432309069736144
case_056,3,131386,128403,1.02323154443432,False,6069540,6069540,372948,2957882,0.1119684883347394
case_057,3,17798,17798,1.0,True,288,288,288,336588,0.0008549139742813379
case_058,3,1487365,1487365,1.0,True,31199232,31199232,0,36839424,0.0
case_059,3,253549,253549,1.0,False,2170880,2170880,1902592,1345536,0.585750315258512
case_060,3,244858,244808,1.000204241691448,True,2287748,2287748,1178624,3134122,0.2732885266139021
case_061,3,24733,24733,1.0,True,43008,43008,43008,544036,0.07326197014193143
case_062,3,1084585,1085087,0.9995373642850758,False,10765824,10705920,0,18753024,0.0
case_063,3,349275,396730,0.8803846444685303,False,6955008,3154944,0,6597120,0.0
case_064,3,10212,10189,1.002257336343115,True,102252,102252,29612,67158,0.3060039268368296
case_065,3,10514,10514,1.0,True,27792,27792,13968,313544,0.04264881897457192
case_066,3,163919,156078,1.0502377016619895,True,5310910,5310910,990052,3204306,0.23604375210699707
case_067,3,19768878,19732687,1.0018340634501526,True,61002496,61002496,7266816,31890048,0.18558217532435692
case_068,3,132178,123381,1.0712994707450905,False,3406314,3402214,1295500,3889568,0.24985207522832872
case_069,3,10493,9795,1.0712608473711076,True,341068,341068,89482,241768,0.2701343396226415
case_070,3,31757,31458,1.0095047364740288,True,259072,259072,179200,499730,0.2639447365707805
case_071,3,8596,7601,1.130903828443626,False,281740,257388,80268,209910,0.2766164216446457
case_072,3,7859153,7835275,1.0030474999282093,True,117308088,117308088,31900024,96497998,0.24844638182977616
case_073,3,2854038,2854038,1.0,True,7443200,7443200,0,11324544,0.0
case_074,3,533495,530641,1.005378400839739,False,5079040,5087232,4587520,4046872,0.5313078210949885
case_075,3,564428,505606,1.1163396004003117,False,12543052,12181164,1915020,6616534,0.22446321033659283
case_076,3,2044878,2043746,1.0005538848761049,False,32937984,31208448,16556032,18921472,0.4666628182185534
case_077,3,149526,147616,1.0129389768046824,False,114688,131072,114688,2149452,0.05065411149487223
case_078,3,694614,691121,1.00505410774669,False,8593152,8593152,2378856,6312984,0.27368842500552243
case_079,3,10064404,10110918,0.9953996264236343,False,70815744,43214848,6807552,42219520,0.1388529178328251
case_080,3,97325,97325,1.0,True,3047424,3047424,663552,4288512,0.13399503722084366
case_081,3,51943,51943,1.0,True,0,0,0,1044820,0.0
case_082,3,234596,233259,1.005731825995996,False,5756268,5739884,616970,3020728,0.16960451362372578
case_083,3,288559,288559,1.0,True,1860800,1860800,930112,2115040,0.3054402538855203
case_084,3,424596,424596,1.0,True,0,0,0,9927786,0.0
case_085,3,1167341,1225122,0.9528365338309164,False,34838636,34904202,2720282,16988486,0.13802394954367517
case_086,3,40972,39679,1.032586506716399,False,1419148,1308172,411468,722054,0.3629995712478452
case_087,3,1233023,1230468,1.0020764457100875,False,12004244,11999636,4299268,13452972,0.2421817190394001
case_088,3,86573,84044,1.030091380705345,True,2078542,2078542,766282,2564964,0.23002864393683325
case_089,3,206626,206626,1.0,True,477440,477440,0,880000,0.0
case_090,3,330540,323761,1.0209382847223725,True,4296960,4296960,1944360,4541016,0.2998068269287702
case_091,3,3025509,3014454,1.0036673308002046,True,61863936,61863936,29481024,38904256,0.43110189795230786
case_092,3,1294505,1291687,1.0021816430760704,True,10282176,10282176,708928,7456224,0.08682361332648798
case_093,3,25103,25103,1.0,True,16384,16384,0,589824,0.0
case_094,3,25046,25046,1.0,True,212544,212544,114240,569632,0.1670488044546348
case_095,3,361155,361155,1.0,True,0,0,0,8516508,0.0
case_096,3,28617,27978,1.022839373793695,False,75584,84800,33600,245076,0.12057012444559273
case_097,3,3539857,3539857,1.0,False,8544256,8589312,6912000,5900288,0.5394820971867008
case_098,3,89758,67844,1.3230057190024174,False,0,1227246,496170,1067526,0.31730592135555763
case_099,3,533822,533576,1.000461040226697,True,8986624,8986624,6107136,5413120,0.530121552854381
case_100,3,57811,57811,1.0,True,72192,72192,8704,499494,0.01712718271224995
case_001,4,58984,58984,1.0,True,3456,3456,0,823808,0.0
case_002,4,62314,68622,0.908076127189531,False,595968,595968,0,1520640,0.0
case_003,4,244082,228271,1.0692641640856702,False,10953420,10953420,1406088,6018604,0.18937997697412903
case_004,4,100126,100126,1.0,False,331776,1093632,110592,1053696,0.09498680738786279
case_005,4,35287,31233,1.1297986104440816,False,1555314,1553010,505262,778762,0.39349887541042844
case_006,4,31203,31425,0.9929355608591885,False,48896,33536,33536,543264,0.05814147018030513
case_007,4,246030,246030,1.0,True,82944,82944,0,963072,0.0
case_008,4,67332,67332,1.0,True,0,0,0,1990872,0.0
case_009,4,44749,42444,1.0543068513806428,False,1352596,1340300,476886,892040,0.3483650686742746
case_010,4,29856,29582,1.009262389290785,False,96768,133632,96768,402510,0.19381587011644816
case_011,4,46880,46880,1.0,True,540672,540672,0,1081344,0.0
case_012,4,13059,13059,1.0,True,39168,39168,25728,497536,0.049168297455968686
case_013,4,66946,66946,1.0,False,24576,24576,12288,2035712,0.006
case_014,4,4407508,4396449,1.0025154391646531,True,89135112,89135112,25203552,73560576,0.2551893335199598
case_015,4,44529,44529,1.0,True,219648,219648,55808,1048322,0.050544772807549834
case_016,4,2240038,2239547,1.0002192407661015,True,212460,212460,197824,399926,0.33094772061898786
case_017,4,29762,29762,1.0,True,259200,259200,111744,682574,0.1406791738321428
case_018,4,247668,244826,1.0116082442224275,False,4198144,3919616,3641088,1789204,0.6705142191248648
case_019,4,22103,22103,1.0,True,51744,51744,8192,222804,0.03546381755528234
case_020,4,133704,133704,1.0,True,0,0,0,1179648,0.0
case_021,4,1550324,1550324,1.0,True,4608000,4608000,0,6963200,0.0
case_022,4,14333,14333,1.0,True,13824,13824,13824,213540,0.060801182245210326
case_023,4,19331,19279,1.0026972353337829,True,281280,281280,59808,655594,0.08360054906192602
case_024,4,744106,743615,1.000660287917807,True,201852,201852,197008,395438,0.33253326041529524
case_025,4,1177396,1177396,1.0,True,82944,82944,0,4205568,0.0
case_026,4,42226,41655,1.0137078381946945,False,170832,160592,123728,519606,0.19232311676360958
case_027,4,559196,559196,1.0,True,1843200,1843200,0,3686400,0.0
case_028,4,10044660,10033676,1.0010947134430093,True,25172352,25172352,2146536,17690904,0.10820630081300812
case_029,4,11028,11028,1.0,True,0,0,0,258132,0.0
case_030,4,698032,696790,1.0017824595645748,True,11328512,11328512,6941696,4687872,0.5969005899445275
case_031,4,347666,344645,1.008765541354147,True,7232130,7232130,4567552,4406646,0.5089649236622593
case_032,4,10285,10285,1.0,True,0,0,0,279156,0.0
case_033,4,434989,434850,1.0003196504541796,True,7229024,7229024,4313088,5532816,0.4380591157500622
case_034,4,193853,193418,1.0022490150864967,True,3059200,3059200,2858496,2480688,0.5353806873859376
case_035,4,80381,80381,1.0,True,4608,4608,4608,396878,0.01147736160164987
case_036,4,233584,233584,1.0,True,3456,3456,0,3281408,0.0
