library,case,cores,no_l2_makespan,l2_makespan,no_l2_added_copy,l2_added_copy,same_core_p2_over_p3,same_plan_hash,interpretation
cold,case_043,2,272847,272945,1698060,1701132,0.999640953305611,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_044,2,43839,43790,930400,930400,1.0011189769353734,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_045,2,62983,62983,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_046,2,105322,105322,930400,930400,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_047,2,155794,155794,763014,762886,1.0,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_048,2,118084,102880,710854,479718,1.1477838258164852,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_049,2,103352,103147,3732258,3729574,1.001987454797522,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_050,2,96093,96093,789888,789888,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_051,2,319230,318398,394080,394080,1.0026130817404633,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_052,2,71528,71558,232448,186368,0.9995807596634898,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_053,2,609413,609949,1165808,1167856,0.9991212380051447,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_054,2,439945,439923,1030306,1030306,1.0000500087515316,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_055,2,36179,36179,57856,57856,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_056,2,137372,137140,4124990,4124990,1.0016917019104565,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_057,2,25585,25553,94496,69920,1.0012522991429578,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_058,2,2238588,2237150,33644544,33644544,1.0006427821111683,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_059,2,369318,369318,360448,360448,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_060,2,364591,364106,2615424,3611780,1.0013320296836636,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_061,2,36322,36255,34560,34176,1.001848020962626,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_062,2,1578399,1579231,10994688,10948608,0.9994731613044576,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_063,2,533734,576419,12549120,3262464,0.9259479649352295,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_064,2,11107,13331,60454,33828,0.8331708048908559,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_065,2,16086,16067,13968,13968,1.0011825480799152,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_066,2,180684,179280,4024796,4024796,1.0078313253012048,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_067,2,29743067,29721725,50651520,50667904,1.0007180606105466,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_068,2,165990,164057,2416760,2405744,1.0117824902320536,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_069,2,11609,12078,226118,322852,0.9611690677264447,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_070,2,46481,46445,129536,129536,1.00077511034557,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_071,2,9571,9550,149190,149190,1.0021989528795812,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_072,2,11699495,11698667,115911456,115911456,1.0000707772945414,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_073,2,4235331,4196435,3721600,3721600,1.00926881984351,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_074,2,802539,801507,3588116,3588116,1.0012875745314764,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_075,2,626530,599976,8219270,3907972,1.0442584370041468,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_076,2,3060647,3059865,28484608,28484608,1.0002555668305628,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_077,2,216557,216779,73728,73728,0.998975915563777,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_078,2,1020602,1020602,2148480,2148480,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_079,2,15123031,15207597,64829440,38100992,0.9944392266575712,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_080,2,145224,145224,1904640,1904640,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_081,2,76860,76860,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_082,2,310774,309703,3885638,3885638,1.003458151842249,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_083,2,419197,419197,930400,930400,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_084,2,635532,636068,9216,0,0.9991573228019646,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_085,2,1631217,2006597,22605832,23225902,0.8129270600922855,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_086,2,49693,49309,899142,788550,1.0077876249771847,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_087,2,1836261,1835224,11026388,11026388,1.0005650536392288,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_088,2,109433,107989,1614074,1614078,1.0133717323060683,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_089,2,294992,294992,238720,238720,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_090,2,453010,453010,2148480,2148480,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_091,2,4511151,4508153,52865312,52865312,1.00066501735855,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_092,2,1978704,1958800,16527968,56975776,1.0101613232591382,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_093,2,37335,37559,16384,12288,0.9940360499480817,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_094,2,36011,36011,106272,106272,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_095,2,539178,539178,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_096,2,32672,32672,103104,103104,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_097,2,5152906,5165085,2555904,2664448,0.9976420523573184,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_098,2,89620,89756,0,0,0.9984847809617184,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_099,2,799145,799052,7516160,7516160,1.0001163879196848,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_100,2,72939,72939,4608,4608,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_001,3,78545,78545,2304,2304,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_002,3,81890,82949,669696,635904,0.987233119145499,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_003,3,252518,247678,10194904,10178520,1.0195415014656126,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_004,3,130725,130725,221184,221184,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_005,3,34420,32392,1262476,1152972,1.0626080513707088,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_006,3,31151,31151,30080,30080,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_007,3,326994,326994,55296,55296,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_008,3,87867,87867,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_009,3,80002,79991,74240,95232,1.0001375154704903,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_010,3,29582,29343,48384,59904,1.008145043110793,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_011,3,62289,62289,2531328,2535424,1.0,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_012,3,13844,13842,32832,32832,1.0001444877907817,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_013,3,88351,88351,16384,16384,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_014,3,5904919,5842901,80211600,80211600,1.010614247956623,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_015,3,54804,54371,208128,1355008,1.0079638042338748,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_016,3,2877801,2877208,275564,275564,1.0002061025827815,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_017,3,38685,38445,269972,269972,1.0062426843542724,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_018,3,325165,325023,2638208,2638208,1.000436892158401,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_019,3,22000,22000,27168,27168,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_020,3,177950,177950,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_021,3,2095417,2095417,28008448,28008448,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_022,3,18346,18320,13824,13824,1.0014192139737992,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_023,3,25878,25878,225568,225568,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_024,3,954489,953896,266588,266588,1.0006216610615832,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_025,3,1568824,1568824,55296,55296,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_026,3,41655,41481,95664,105264,1.0041946915455269,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_027,3,745692,745692,12165120,12165120,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_028,3,13360974,13360974,32792832,32792832,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_029,3,12743,12743,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_030,3,930940,930631,12462080,12462080,1.0003320327820586,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_031,3,452413,450295,6380544,6379520,1.0047035832065645,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_032,3,11874,11874,6144,6144,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_033,3,581136,580115,7235648,7235648,1.0017599958628893,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_034,3,250493,250493,1889280,1889280,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
