batch,case,problem,num_cores,seed,stage,round,before_time,after_time,evaluations,generation_seconds
full_p2_seed17,case_007,2,4,17,operation,0,254398,254398,8,0.29556087509263307
full_p2_seed17,case_007,2,4,17,trace,0,254398,254398,2,0.05260904203169048
full_p2_seed17,case_007,2,5,17,component,0,,203834,4,0.29175779200159013
full_p2_seed17,case_007,2,5,17,operation,0,203834,203834,8,0.33690341701731086
full_p2_seed17,case_007,2,5,17,trace,0,203834,203834,1,0.05518404196482152
full_p2_seed17,case_008,2,2,17,component,0,,244266,4,0.014760417048819363
full_p2_seed17,case_008,2,2,17,operation,0,244266,244266,5,0.04801454197149724
full_p2_seed17,case_008,2,2,17,trace,0,244266,244266,0,0.01220545801334083
full_p2_seed17,case_008,2,3,17,component,0,,163359,4,0.023197292000986636
full_p2_seed17,case_008,2,3,17,operation,0,163359,163359,5,0.056331624975427985
full_p2_seed17,case_008,2,3,17,trace,0,163359,163359,0,0.011132791987620294
full_p2_seed17,case_008,2,4,17,component,0,,123060,4,0.03562199999578297
full_p2_seed17,case_008,2,4,17,operation,0,123060,123060,5,0.0680997910676524
full_p2_seed17,case_008,2,4,17,trace,0,123060,123060,1,0.011822417029179633
full_p2_seed17,case_008,2,5,17,component,0,,100603,4,0.056259333970956504
full_p2_seed17,case_008,2,5,17,operation,0,100603,100603,7,0.07153512502554804
full_p2_seed17,case_008,2,5,17,trace,0,100603,100603,2,0.01440237497445196
full_p2_seed17,case_009,2,2,17,component,0,,92198,4,0.10083754197694361
full_p2_seed17,case_009,2,2,17,operation,0,92198,92198,8,0.2566235000267625
full_p2_seed17,case_009,2,2,17,trace,0,92198,87935,12,0.1149808339541778
full_p2_seed17,case_009,2,3,17,component,0,,92207,4,0.18013499991502613
full_p2_seed17,case_009,2,3,17,operation,0,92207,92207,8,0.3509540829109028
full_p2_seed17,case_009,2,3,17,trace,0,92207,85607,12,0.12321766698732972
full_p2_seed17,case_009,2,4,17,component,0,,92216,4,0.24918816692661494
