case,problem,cores,policy,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,plan_member
case_028,3,5,paired_w200,0.03,7970583,22602240,0.0,0,plans/05b026fb2cdecf1f8aa3377653f92b653abaca5b14ccf3b217feb9bb6108df48.json
case_037,2,5,legacy,0,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,2,5,legacy,0.01,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,2,5,legacy,0.03,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,2,5,paired_w200,0,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,2,5,paired_w200,0.01,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,2,5,paired_w200,0.03,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,3,5,legacy,0,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,3,5,legacy,0.01,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,3,5,legacy,0.03,43013,778240,0.0,0,plans/4aa7e2d81681ee56802a32a8224932b5ae960a12353369f4a7f1d735b45ec629.json
case_037,3,5,paired_w200,0,43013,1925120,0.0,0,plans/835411a285f111e337d65cc86240498f8ed145c5267ae7ead080ca6454ebe3f9.json
case_037,3,5,paired_w200,0.01,43013,1925120,0.0,0,plans/835411a285f111e337d65cc86240498f8ed145c5267ae7ead080ca6454ebe3f9.json
case_037,3,5,paired_w200,0.03,43013,1925120,0.0,0,plans/835411a285f111e337d65cc86240498f8ed145c5267ae7ead080ca6454ebe3f9.json
case_046,2,5,legacy,0,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,2,5,legacy,0.01,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,2,5,legacy,0.03,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,2,5,paired_w200,0,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,2,5,paired_w200,0.01,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,2,5,paired_w200,0.03,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,legacy,0,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,legacy,0.01,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,legacy,0.03,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,paired_w200,0,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,paired_w200,0.01,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_046,3,5,paired_w200,0.03,77846,2791200,0.0,0,plans/06766164545d1f3344b98cd9509bc23f12b77e8a71bda5520df692562dfa3f7d.json
case_053,2,5,legacy,0,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,2,5,legacy,0.01,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,2,5,legacy,0.03,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,2,5,paired_w200,0,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,2,5,paired_w200,0.01,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,2,5,paired_w200,0.03,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,legacy,0,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,legacy,0.01,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,legacy,0.03,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,paired_w200,0,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,paired_w200,0.01,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_053,3,5,paired_w200,0.03,374457,3247692,0.0,0,plans/f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805.json
case_071,2,5,legacy,0,9399,377650,0.0,0,plans/2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071.json
case_071,2,5,legacy,0.01,9399,377650,0.0,0,plans/2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071.json
case_071,2,5,legacy,0.03,9399,377650,0.0,0,plans/2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071.json
case_071,2,5,paired_w200,0,9232,360050,0.0,0,plans/b588dcf5d27475b25c1e525b5c67faa6cfc441fb95b22496e67d174f68871159.json
case_071,2,5,paired_w200,0.01,9232,360050,0.0,0,plans/b588dcf5d27475b25c1e525b5c67faa6cfc441fb95b22496e67d174f68871159.json
case_071,2,5,paired_w200,0.03,9232,360050,0.0,0,plans/b588dcf5d27475b25c1e525b5c67faa6cfc441fb95b22496e67d174f68871159.json
case_071,3,5,legacy,0,7982,362354,0.0,0,plans/7d07ed19b7455b14d7a72cce497f599a098701cbcb62a492183c61b9f7a65dff.json
case_071,3,5,legacy,0.01,7982,362354,0.0,0,plans/7d07ed19b7455b14d7a72cce497f599a098701cbcb62a492183c61b9f7a65dff.json
case_071,3,5,legacy,0.03,7982,362354,0.0,0,plans/7d07ed19b7455b14d7a72cce497f599a098701cbcb62a492183c61b9f7a65dff.json
case_071,3,5,paired_w200,0,7942,361586,0.0,0,plans/50c45ec4b549100ac2b1eb43bf6fc579c7482c2c3e58ef45e13c76a000b3879d.json
case_071,3,5,paired_w200,0.01,7986,359282,0.005540166204986097,2304,plans/a51df8c725204357493b8d84c6d2b5bd2300360197ade12699620b4c638249cc.json
case_071,3,5,paired_w200,0.03,8129,356978,0.023545706371191244,4608,plans/43bc3c7a7e78a71c3d13150f2851881ad3ba8ea1885ee52cb3e076bd97b091e8.json
case_095,2,5,legacy,0,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,2,5,legacy,0.01,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,2,5,legacy,0.03,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,2,5,paired_w200,0,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,2,5,paired_w200,0.01,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,2,5,paired_w200,0.03,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,3,5,legacy,0,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
case_095,3,5,legacy,0.01,220188,0,0.0,0,plans/51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982.json
