batch,profile,case,problem,num_cores,compute_ops,size_band,stage,round,generation_seconds,evaluations,strict_time_improvement,before_time,after_time
full_p1_seed17,full,case_013,1,3,1968,02_1001..5000,component,0,0.11243187496438622,4,True,,88351
full_p1_seed17,full,case_013,1,3,1968,02_1001..5000,operation,0,0.06850433303043246,8,False,88351,88351
full_p1_seed17,full,case_013,1,4,1968,02_1001..5000,component,0,0.19173983403015882,4,True,,66982
full_p1_seed17,full,case_013,1,4,1968,02_1001..5000,operation,0,0.0939263750333339,8,False,66982,66982
full_p1_seed17,full,case_013,1,5,1968,02_1001..5000,component,0,0.24557300005108118,4,True,,54363
full_p1_seed17,full,case_013,1,5,1968,02_1001..5000,operation,0,0.08220195805188268,8,False,54363,54363
full_p1_seed17,full,case_015,1,2,1013,02_1001..5000,component,0,0.05842091701924801,4,True,,87789
full_p1_seed17,full,case_015,1,2,1013,02_1001..5000,operation,0,0.03597266704309732,8,False,87789,87789
full_p1_seed17,full,case_015,1,3,1013,02_1001..5000,component,0,0.09468970797024667,4,True,,61193
full_p1_seed17,full,case_015,1,3,1013,02_1001..5000,operation,0,0.03431770903989673,8,False,61193,61193
full_p1_seed17,full,case_015,1,4,1013,02_1001..5000,component,0,0.15831016702577472,4,True,,50093
full_p1_seed17,full,case_015,1,4,1013,02_1001..5000,operation,0,0.03318949998356402,8,False,50093,50093
full_p1_seed17,full,case_015,1,5,1013,02_1001..5000,component,0,0.19005350000225008,4,True,,43411
full_p1_seed17,full,case_015,1,5,1013,02_1001..5000,operation,0,0.034786207950674,8,False,43411,43411
full_p1_seed17,full,case_003,1,3,13455,04_>10000,component,0,0.36074170807842165,4,True,,538764
full_p1_seed17,full,case_003,1,3,13455,04_>10000,operation,0,0.3969494589837268,8,False,538764,538764
full_p1_seed17,full,case_016,1,2,17995,04_>10000,component,0,0.03850895899813622,1,True,,7715523
full_p1_seed17,full,case_016,1,2,17995,04_>10000,operation,0,0.48357499996200204,8,False,7715523,7715523
full_p1_seed17,full,case_003,1,4,13455,04_>10000,component,0,0.680460499948822,4,True,,539155
full_p1_seed17,full,case_003,1,4,13455,04_>10000,operation,0,0.4520407500676811,8,False,539155,539155
full_p1_seed17,full,case_016,1,3,17995,04_>10000,component,0,0.039606833015568554,1,True,,7715523
full_p1_seed17,full,case_016,1,3,17995,04_>10000,operation,0,0.6763694160617888,8,False,7715523,7715523
full_p1_seed17,full,case_003,1,5,13455,04_>10000,component,0,1.0349368749884889,4,True,,539607
full_p1_seed17,full,case_003,1,5,13455,04_>10000,operation,0,0.5394927910529077,8,False,539607,539607
full_p1_seed17,full,case_017,1,2,1373,02_1001..5000,component,0,0.10976999998092651,4,True,,83047
full_p1_seed17,full,case_017,1,2,1373,02_1001..5000,operation,0,0.061250625061802566,8,False,83047,83047
full_p1_seed17,full,case_017,1,3,1373,02_1001..5000,component,0,0.20382995798718184,4,True,,56882
full_p1_seed17,full,case_017,1,3,1373,02_1001..5000,operation,0,0.06416499998886138,8,False,56882,56882
full_p1_seed17,full,case_017,1,4,1373,02_1001..5000,component,0,0.27933258400298655,4,True,,42384
full_p1_seed17,full,case_017,1,4,1373,02_1001..5000,operation,0,0.0713389579905197,8,False,42384,42384
full_p1_seed17,full,case_017,1,5,1373,02_1001..5000,component,0,0.37138795806095004,4,True,,35496
full_p1_seed17,full,case_017,1,5,1373,02_1001..5000,operation,0,0.07110033300705254,8,False,35496,35496
full_p1_seed17,full,case_018,1,2,2727,02_1001..5000,component,0,0.20649204205255955,4,True,,504468
full_p1_seed17,full,case_018,1,2,2727,02_1001..5000,operation,0,0.1395851660054177,8,False,504468,504468
full_p1_seed17,full,case_018,1,3,2727,02_1001..5000,component,0,0.4515654999995604,4,True,,339838
full_p1_seed17,full,case_018,1,3,2727,02_1001..5000,operation,0,0.13751691591460258,8,False,339838,339838
full_p1_seed17,full,case_018,1,4,2727,02_1001..5000,component,0,0.5687267079483718,4,True,,254635
full_p1_seed17,full,case_018,1,4,2727,02_1001..5000,operation,0,0.14886195806320757,8,False,254635,254635
full_p1_seed17,full,case_018,1,5,2727,02_1001..5000,component,0,0.8860845840536058,4,True,,205917
full_p1_seed17,full,case_018,1,5,2727,02_1001..5000,operation,0,0.14191437500994653,8,False,205917,205917
full_p1_seed17,full,case_019,1,2,647,01_<=1000,component,0,0.04774216702207923,4,True,,41238
full_p1_seed17,full,case_019,1,2,647,01_<=1000,operation,0,0.025438374956138432,8,False,41238,41238
full_p1_seed17,full,case_019,1,3,647,01_<=1000,component,0,0.07144770899321884,4,True,,28986
full_p1_seed17,full,case_019,1,3,647,01_<=1000,operation,0,0.024046332924626768,8,False,28986,28986
full_p1_seed17,full,case_019,1,4,647,01_<=1000,component,0,0.11203791690059006,4,True,,24099
full_p1_seed17,full,case_019,1,4,647,01_<=1000,operation,0,0.026527333888225257,8,False,24099,24099
full_p1_seed17,full,case_019,1,5,647,01_<=1000,component,0,0.1318086669780314,4,True,,24169
full_p1_seed17,full,case_019,1,5,647,01_<=1000,operation,0,0.028678416972979903,8,False,24169,24169
full_p1_seed17,full,case_016,1,4,17995,04_>10000,component,0,0.059425542014651,1,True,,7715523
full_p1_seed17,full,case_016,1,4,17995,04_>10000,operation,0,0.7242596669821069,8,False,7715523,7715523
full_p1_seed17,full,case_020,1,2,7008,03_5001..10000,component,0,0.14003762498032302,4,True,,266580
