case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_078,454208,11867136,0,5471664,6777552,0.4466950374619894,9f21822b6b58a46c636f313c156b9857c4ca4da42dd2f282ccc76969b48bee40
case_079,5992556,39710720,17678336,14479360,31043584,0.3180673025013496,cd86c093925aff5c7f9b4c4d1b47ff78287baccf5ed3aec1c8592e00fd2f5add
case_080,71695,1904640,0,1290240,2519040,0.3387096774193548,e456eacc906d04a73cd2c1a3a81f843d9d152cdc8061e590d670ae784769b94f
case_081,30943,0,0,0,1044820,0.0,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_082,195762,8262966,0,1584978,3465946,0.3137996136944448,57a29c843ef4dae7762455306abdee79e99f53e0e5f6489f570bf78a1777f369
case_083,171099,3754368,0,2654112,2268224,0.5391976492462116,7ade04b75f9102312d51d31360dff534a1e0bec6fec06bbab1b2900ba05c62bc
case_084,503472,0,0,0,9927786,0.0,c8e6182d15dafe67344927e4c22144262af784769c8dea8aa2a2a97e34670c16
case_085,815053,38726264,0,5557520,16601022,0.25080711537789807,0853ad1e3a014939a5f6a4de08aa901eabb5ce157d79e95ba829ffd0ad23dad2
case_086,40127,2115702,0,668562,921434,0.42048030309510215,e7a2ff619bfd452e5ea806afdead634a97c7ac95e49297bb4550564b2645eccd
case_087,790623,13385876,6404756,5022722,14116142,0.2624357433126647,9ccf241ec81f72ff60dbb29f1f0322f5cfb481d7716d122ae89f05dfe8ca509f
case_088,79900,2468858,0,1180368,2504344,0.32034199687791065,d4ebcbaa0f4b2eee50ea1123894751abdad16a5aacbe12eb3afaf90d83f39165
case_089,118946,954880,0,0,1357440,0.0,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_090,194575,7130112,0,5473800,3830136,0.5883316480250939,72311d538e79afe6db2e4812d66d85364b1e911fcf4115408d250f31f3d529a2
case_091,1818751,74685440,48772096,42772704,38372640,0.5271122394896742,19338df329a5f5b9f3ea1119a3e5af0186be942e2ce9a78195a5c31162351411
case_092,774426,4327808,507904,3498400,2619968,0.5717864633183228,812f5a2739c29fb6ddc567ce735cea19035d7eb21380d398060d95f6aeccd51e
case_093,15630,32768,0,0,606208,0.0,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_094,16243,259200,0,162144,568384,0.22195453151693023,79985c6dd1c1792cbc5d10e9823e97f7129cb8748881bdcc5ea862edc41ff6f5
case_095,220188,0,0,0,8516508,0.0,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_096,21779,235312,0,96640,327404,0.22790087821075172,cd9d96f69dca9e556c5bdc86fd2660991a2b1414578498214ed1b9988234b0d2
case_097,2101714,21319680,4280320,6541312,19038208,0.25572457966373097,a9b0b727c038c2eb7f405024ad2a35729426c32096cc531d9fa11a60eaf1019c
case_098,44288,875252,0,413750,938878,0.3058860233560151,36708cd785ebfbf4fdb4d7aa13c7bdec660d79d190fa2dcebf419391e6fb9d35
case_099,322542,10719232,3653632,7151616,6101248,0.5396279626803686,04dbaa76d29fbfb34172d91656867b8c46a21d5a638fa4e1f9a2eeac58ff67f4
case_100,57811,0,0,0,436006,0.0,c649ec9f2a9e1fdcc550ac4ec2c5e82d5cfaaee4d164270061bbbe456de954a4
