id,sample,device_envelope_us,host_us,max_abs_error
pipe_best_scale2_pipe_055,22,34846.1418152,34944.005,0
pipe_best_scale1_pipe_055,23,17362.7605438,17489.017,0
pipe_worst_scale1_pipe_000,23,1884.06002522,1991.49,0
pipe_worst_scale2_pipe_003,23,4038.25998306,4124.891,0
pipe_worst_scale1_pipe_003,23,2029.38008308,2119.761,0
pipe_best_scale1_pipe_058,23,12254.4002533,12336.331,0
pipe_worst_scale2_pipe_000,23,3726.63998604,3846.109,0
pipe_best_scale2_pipe_058,23,24516.8800354,24669.114,0
pipe_best_scale2_pipe_055,23,34442.4209595,34682.964,0
pipe_best_scale2_pipe_055,24,34411.2205505,34536.043,0
pipe_best_scale1_pipe_058,24,12267.8804398,12394.022,0
pipe_worst_scale1_pipe_003,24,2054.96001244,2163.811,0
pipe_worst_scale2_pipe_000,24,3715.1799202,3797.439,0
pipe_worst_scale2_pipe_003,24,4038.6800766,4125.96,0
pipe_worst_scale1_pipe_000,24,1866.00005627,1972.64,0
pipe_best_scale1_pipe_055,24,17200.5195618,17289.497,0
pipe_best_scale2_pipe_058,24,24493.2403564,24627.353,0
pipe_best_scale2_pipe_058,25,24504.940033,24624.123,0
pipe_best_scale2_pipe_055,25,34419.9981689,34552.163,0
pipe_worst_scale2_pipe_000,25,3766.23988152,3849.729,0
pipe_worst_scale1_pipe_003,25,2028.840065,2113.62,0
pipe_worst_scale2_pipe_003,25,4037.79983521,4124.52,0
pipe_best_scale1_pipe_055,25,17129.4002533,17266.686,0
pipe_best_scale1_pipe_058,25,12258.4600449,12384.523,0
pipe_worst_scale1_pipe_000,25,1881.86001778,1991.19,0
pipe_worst_scale2_pipe_003,26,4038.00010681,4114.031,0
pipe_worst_scale2_pipe_000,26,3699.62000847,3805.889,0
pipe_worst_scale1_pipe_003,26,2090.42000771,2172.131,0
pipe_worst_scale1_pipe_000,26,1853.27994823,1948.67,0
pipe_best_scale2_pipe_055,26,34402.4200439,34552.153,0
pipe_best_scale2_pipe_058,26,24493.1602478,24622.393,0
pipe_best_scale1_pipe_058,26,12261.2199783,12385.912,0
pipe_best_scale1_pipe_055,26,17148.7407684,17267.096,0
pipe_best_scale1_pipe_055,27,17356.0390472,17469.617,0
pipe_best_scale1_pipe_058,27,12266.9801712,12365.502,0
pipe_worst_scale2_pipe_003,27,4038.81978989,4129.471,0
pipe_worst_scale1_pipe_003,27,2029.25992012,2114.591,0
pipe_best_scale2_pipe_058,27,24488.7199402,24570.083,0
pipe_worst_scale2_pipe_000,27,3727.79989243,3837.16,0
pipe_best_scale2_pipe_055,27,34378.2196045,34503.413,0
pipe_worst_scale1_pipe_000,27,1883.03995132,1997.12,0
pipe_best_scale1_pipe_055,28,17345.0603485,17437.017,0
pipe_worst_scale1_pipe_000,28,1879.37998772,1969.44,0
pipe_worst_scale2_pipe_003,28,4038.19990158,4117.711,0
pipe_best_scale2_pipe_058,28,24490.2191162,24585.813,0
pipe_best_scale1_pipe_058,28,12268.0397034,12388.592,0
pipe_best_scale2_pipe_055,28,34062.1414185,34222.482,0
pipe_worst_scale1_pipe_003,28,2045.36008835,2154.4,0
pipe_worst_scale2_pipe_000,28,3699.52011108,3818.029,0
pipe_best_scale1_pipe_058,29,12268.7997818,12395.513,0
pipe_worst_scale2_pipe_000,29,3750.49996376,3864.02,0
pipe_worst_scale1_pipe_003,29,2067.60001183,2190.151,0
pipe_best_scale2_pipe_055,29,34288.8412476,34482.343,0
pipe_worst_scale1_pipe_000,29,1898.49996567,2074.81,0
pipe_worst_scale2_pipe_003,29,4053.48014832,4175.521,0
pipe_best_scale1_pipe_055,29,17216.8006897,17322.897,0
pipe_best_scale2_pipe_058,29,24539.1998291,24733.794,0
