id,sample,device_envelope_us,host_us,max_abs_error
barrier_best_scale1_barrier_039,28,1896.13997936,2000.85,0
barrier_best_scale2_barrier_038,28,6798.6998558,6904.265,0
barrier_worst_scale1_barrier_067,28,351.839989424,442.842,0
barrier_worst_scale2_barrier_066,28,787.07998991,885.194,0
barrier_best_scale1_barrier_039,29,1894.45996284,1992.38,0
barrier_worst_scale2_barrier_066,29,742.100000381,848.164,0
barrier_worst_scale1_barrier_067,29,357.08001256,461.702,0
barrier_best_scale2_barrier_038,29,6796.76008224,6894.344,0
barrier_worst_scale1_barrier_066,29,367.540001869,470.463,0
barrier_worst_scale2_barrier_067,29,732.060015202,849.074,0
barrier_best_scale1_barrier_038,29,3453.07993889,3573.598,0
barrier_best_scale2_barrier_039,29,3739.97998238,3862.499,0
