case,problem,cores,valid,cold_makespan,archive_makespan,cold_speedup,archive_speedup,outcome,trained_graph,calls,seconds,failures,best_name
case_025,1,5,True,975282,975282,4.986276789687495,4.986276789687495,tie,True,3,92.70376489599585,1,wcc_start0_simple_a5_per_core_lpt_mv
case_025,2,5,True,974390,974747,4.990841449522265,4.98901355941593,win,True,8,96.0849714979995,0,v2_p2_branch_s2_residency
case_025,3,5,True,974390,974747,4.990841449522265,4.98901355941593,win,True,8,102.20799034301308,0,v2_p3_branch_s2_cache_window
case_026,1,5,True,41688,41655,2.379653617347918,2.3815388308726444,loss,False,8,2.807061002997216,0,selective_whole_critical_path_x1_a3_eft
case_026,2,5,True,35761,28623,2.7740555353597496,3.465849142298152,loss,False,8,2.6970164149970515,0,v2_p2_affinity_s2_residency
case_026,3,5,True,39749,26036,2.4957357417796673,3.8102243048087265,loss,False,8,3.0934565720090177,0,op_stable_id_w200
case_027,1,5,True,497285,558753,4.753716681580984,4.230763861670542,win,False,7,8.236418759988737,0,joint_g0_reallocate_branch_merge
case_027,2,5,True,450807,448488,5.243822744544783,5.270937015037192,loss,False,4,2.9209387110022362,0,v2_p2_affinity_s2_residency
case_027,3,5,True,450044,448117,5.252713068055568,5.2753008700852675,loss,False,4,3.230586987992865,0,v2_p3_branch_s2_cache_window
case_028,1,5,True,10194624,10194624,4.299917289740161,4.299917289740161,tie,False,3,77.95232461798878,0,v2_p1_component_critical
case_028,2,5,True,8166412,8387714,5.367845756496243,5.226220159628714,win,False,8,101.70319751498755,0,v2_p2_branch_s2_critical
case_028,3,5,True,8129461,8300936,5.392244332065804,5.280855074656641,win,False,8,100.82142203699914,0,joint_g0_crossover_branch
case_029,1,5,True,9383,9383,4.002451241607162,4.002451241607162,tie,False,4,2.0504091570037417,0,wcc_start0_simple_a5_per_core_lpt_mv
case_029,2,5,True,9383,9383,4.002451241607162,4.002451241607162,tie,False,8,3.337000965999323,0,wcc_start0_simple_a5_per_core_lpt_mv
case_029,3,5,True,9238,9383,4.065273868802771,4.002451241607162,win,False,8,3.3842259619996184,0,joint_g0_crossover_branch
case_030,1,5,True,561102,558846,5.004498290863337,5.024700901500593,loss,False,2,42.00711382400186,0,wcc_start0_simple_a5_per_core_lpt_mv
case_030,2,5,True,561102,560451,5.004498290863337,5.010311338546992,loss,False,2,8.969547911998234,0,wcc_start0_simple_a5_per_core_lpt_mv
case_030,3,5,True,557851,560198,5.033663110758966,5.012574125577028,win,False,2,10.418453988997499,0,v2_p3_component_cache_window
case_031,1,5,True,306213,306213,4.618905794332703,4.618905794332703,tie,False,8,46.46511094599555,0,wcc_start0_simple_a5_per_core_lpt_mv
case_031,2,5,True,286536,304955,4.936095289946115,4.637959698971979,win,False,8,16.853080590997706,0,joint_g0_crossover_affinity
case_031,3,5,True,286893,304955,4.929952978985196,4.637959698971979,win,False,8,17.429104761002236,0,v2_p3_component_residency
