case,problem,cores,method,call,phase,status,best_makespan
case_021,3,5,local_legacy,3,wcc,success,1249380
case_021,3,5,local_legacy,4,wcc,success,1249380
case_021,3,5,local_legacy,5,wcc_probe,success,1249380
case_021,3,5,local_legacy,6,operation,success,1249380
case_021,3,5,local_legacy,7,legacy,success,1249380
case_021,3,5,local_legacy,8,legacy,success,1249311
case_021,3,5,local_legacy,9,structure,success,1249311
case_021,3,5,local_legacy,10,legacy,success,1249311
case_021,3,5,local_legacy,11,legacy,success,1249311
case_021,3,5,local_legacy,12,legacy,success,1249311
case_021,3,5,baseline,1,component,success,1249380
case_021,3,5,baseline,2,component,success,1249380
case_021,3,5,baseline,3,wcc,success,1249380
case_021,3,5,baseline,4,wcc,success,1249380
case_021,3,5,baseline,5,wcc_probe,success,1249380
case_021,3,5,baseline,6,operation,success,1249380
case_021,3,5,baseline,7,operation,success,1249380
case_021,3,5,baseline,8,trace,success,1249380
case_021,3,5,baseline,9,trace,success,1249380
case_021,3,5,baseline,10,p3_cache,success,1249311
case_021,3,5,baseline,11,p3_cache,success,1249311
case_021,3,5,baseline,12,p3_cache,success,1249311
case_031,3,5,integrated,1,component,success,306213
case_031,3,5,integrated,2,component,success,306213
case_031,3,5,integrated,3,wcc,success,303350
case_031,3,5,integrated,4,wcc,success,276214
case_031,3,5,integrated,5,wcc_probe,success,276214
case_031,3,5,integrated,6,operation,success,276214
case_031,3,5,integrated,7,data,success,276203
case_031,3,5,integrated,8,region,success,276203
case_031,3,5,integrated,9,structure,success,276203
case_031,3,5,integrated,10,legacy,success,276203
case_031,3,5,integrated,11,data,success,276203
case_031,3,5,integrated,12,region,success,276203
case_074,3,5,local_legacy,1,component,success,340313
case_074,3,5,local_legacy,2,component,success,340313
case_074,3,5,local_legacy,3,wcc,success,338899
case_074,3,5,local_legacy,4,wcc,success,338899
case_074,3,5,local_legacy,5,wcc_probe,success,332901
case_074,3,5,local_legacy,6,operation,success,332901
case_074,3,5,local_legacy,7,legacy,success,332901
case_074,3,5,local_legacy,8,legacy,success,332901
case_074,3,5,local_legacy,9,structure,success,332901
case_074,3,5,local_legacy,10,structure_pair,success,326692
case_074,3,5,local_legacy,11,legacy,success,326692
case_074,3,5,local_legacy,12,legacy,success,326679
case_060,3,5,integrated,1,component,success,182869
case_060,3,5,integrated,2,component,success,182869
case_060,3,5,integrated,3,wcc,success,182869
case_060,3,5,integrated,4,wcc,success,178118
case_060,3,5,integrated,5,component,success,178118
case_060,3,5,integrated,6,wcc,success,160258
case_060,3,5,integrated,7,data,success,160246
case_060,3,5,integrated,8,region,success,160246
case_060,3,5,integrated,9,structure,success,160246
case_060,3,5,integrated,10,legacy,success,160246
case_060,3,5,integrated,11,data,success,160246
case_060,3,5,integrated,12,region,success,160246
case_048,1,5,local_legacy,1,component,success,222220
case_048,1,5,local_legacy,2,partition,success,222220
case_048,1,5,local_legacy,3,partition,success,222220
case_048,1,5,local_legacy,4,partition,success,222220
case_048,1,5,local_legacy,5,tensor,success,222220
case_048,1,5,local_legacy,6,tensor,success,222220
case_048,1,5,local_legacy,7,legacy,success,222220
case_048,1,5,local_legacy,8,legacy,success,222220
case_048,1,5,local_legacy,9,structure,success,222220
case_048,1,5,local_legacy,10,structure,success,211661
case_048,1,5,local_legacy,11,legacy,success,211661
case_048,1,5,local_legacy,12,legacy,success,211661
case_090,2,5,local_legacy,1,component,success,542638
case_090,2,5,local_legacy,2,component,success,542638
case_090,2,5,local_legacy,3,wcc,success,542638
case_090,2,5,local_legacy,4,wcc,success,364675
case_090,2,5,local_legacy,5,component,success,364675
case_090,2,5,local_legacy,6,wcc,success,364675
case_090,2,5,local_legacy,7,structure_pair,success,260978
case_090,2,5,local_legacy,8,legacy,success,260978
case_090,2,5,local_legacy,9,legacy,success,260978
case_090,2,5,local_legacy,10,structure,success,260978
case_090,2,5,local_legacy,11,structure,success,260978
case_090,2,5,local_legacy,12,structure,success,260978
case_060,2,5,integrated,1,component,success,183430
case_060,2,5,integrated,2,component,success,183430
case_060,2,5,integrated,3,wcc,success,183430
case_060,2,5,integrated,4,wcc,success,183430
case_060,2,5,integrated,5,component,success,183430
case_060,2,5,integrated,6,wcc,success,164455
case_060,2,5,integrated,7,structure_pair,success,164455
